username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
CanPaleoChick1;2015-04-29 19:26;0;0;"Amazing #saltys #Halifax #halifaxharbour #Datenight #pharmacyconference https:// instagram.com/p/2E1bBGmvcP/";;;#saltys #Halifax #halifaxharbour #Datenight #pharmacyconference;"593541792601104384";https://twitter.com/CanPaleoChick1/status/593541792601104384
conrad_art;2015-04-29 17:57;0;0;"Got Fog? #HalifaxHarbour https:// flic.kr/p/s1zJH8";;;#HalifaxHarbour;"593519618452365312";https://twitter.com/conrad_art/status/593519618452365312
RLitwiller;2015-04-29 17:00;0;0;"DYK! The last RCN ship lost in WWII was HMCS ESQUIMALT torpedoed outside Halifax harbour , on 16 Apr 45 by U191. #BOA15 @BOA_Place";;@BOA_Place;#BOA15;"593505128780410881";https://twitter.com/RLitwiller/status/593505128780410881
Deltas_In_HFX;2015-04-29 16:09;1;1;"This #MothersDay treat mom to our annual Mother's Day Brunch in our ballroom overlooking the #Halifax Harbour! pic.twitter.com/1fUAGNt6Pn";;;#MothersDay #Halifax;"593492308135403520";https://twitter.com/Deltas_In_HFX/status/593492308135403520
HalifaxMagazine;2015-04-29 10:41;4;3;"#HalifaxMagazine reader Anthony Kawalski shares this photo of HMCS Charlottetown​ in Halifax Harbour ​. pic.twitter.com/1aUpzzoQZJ";;;#HalifaxMagazine;"593409887696232448";https://twitter.com/HalifaxMagazine/status/593409887696232448
AKawalski;2015-04-28 21:42;1;1;""Charlottetown In Halifax" #Halifax #City #HalifaxHarbour #RoyalCanadianNavy #HMCSCharlottetown … https:// instagram.com/p/2CgSJUgzty/";;;#Halifax #City #HalifaxHarbour #RoyalCanadianNavy #HMCSCharlottetown;"593213834153828352";https://twitter.com/AKawalski/status/593213834153828352
ttebotarnowski;2015-04-28 10:38;0;0;"Good morning Halifax! #raining #walking #exploring @Halifax Harbour https:// instagram.com/p/2BUTjUKc1d/";;@Halifax;#raining #walking #exploring;"593046755949813761";https://twitter.com/ttebotarnowski/status/593046755949813761
naynayv25;2015-04-28 08:23;0;0;"Halifax Harbour #harbourview #goodmorning #halifax #yyz #yhz https:// instagram.com/p/2BE17mq200/";;;#harbourview #goodmorning #halifax #yyz #yhz;"593012753046044672";https://twitter.com/naynayv25/status/593012753046044672
haligoniaphotos;2015-04-26 18:32;1;2;"from @alexjspeck View from #PointPleasantPark #novascotia #haligonia #halifax #harbour #spring #industry pic.twitter.com/XUgHhg8WIO";;@alexjspeck;#PointPleasantPark #novascotia #haligonia #halifax #harbour #spring #industry;"592441046572797953";https://twitter.com/haligoniaphotos/status/592441046572797953
nomadgourmet;2015-04-26 18:19;0;1;"@pztor1 @HfxSeaportMrkt Canada, Halifax Harbour a great deep natural Harbour and the friendliest port in all the world, find the Nomad, eat.";;@pztor1 @HfxSeaportMrkt;;"592437761371672576";https://twitter.com/nomadgourmet/status/592437761371672576
northdegaa;2015-04-26 17:05;0;2;"Halifax harbour Canadian warships pic.twitter.com/VdQx7khk60";;;;"592419328785522688";https://twitter.com/northdegaa/status/592419328785522688
northdegaa;2015-04-26 17:05;0;2;"Halifax harbour panorama pic.twitter.com/S2HynsS75z";;;;"592419125982535680";https://twitter.com/northdegaa/status/592419125982535680
michaeldinn;2015-04-26 15:57;1;0;"I wonder if she lives in Halifax Harbour ? pic.twitter.com/2eAtHx3bvb";;;;"592402019735986177";https://twitter.com/michaeldinn/status/592402019735986177
_huntermariee;2015-04-26 14:33;0;2;"" Halifax Harbour is like swimming in diseases." Classified knows what's up.";;;;"592381013403119616";https://twitter.com/_huntermariee/status/592381013403119616
DaveAtCOGS;2015-04-25 21:37;1;3;"Downtown Halifax! http:// en.wikipedia.org/wiki/Theodore_ Tugboat … was a kid's show in the 90s. Now http:// en.wikipedia.org/wiki/Theodore_ Too … plies Halifax harbour";;;;"592125240303558656";https://twitter.com/DaveAtCOGS/status/592125240303558656
ryan_sisters;2015-04-25 15:15;0;1;"Out and about in Halifax with #FlatStanley ! #halifaxharbour , #ColdAprilDay , #photofun ,… https:// instagram.com/p/16Fio8gMkN/";;;#FlatStanley #halifaxharbour #ColdAprilDay #photofun;"592029137331687424";https://twitter.com/ryan_sisters/status/592029137331687424
UncorkedNB;2015-04-25 13:41;0;2;"Visiting both coasts this week. This is a shot of Halifax Harbour #fromseatosea pic.twitter.com/vY2zGoDbfZ";;;#fromseatosea;"592005511375134721";https://twitter.com/UncorkedNB/status/592005511375134721
DartmouthKate;2015-04-25 07:33;8;15;"RT: @NewScotlandCo : Beauty morning on the #Halifax Harbour. @AlderneyMarket come visit us today, here until 1pm! pic.twitter.com/6j0eDm1PMe";;@NewScotlandCo @AlderneyMarket;#Halifax;"591912919413161985";https://twitter.com/DartmouthKate/status/591912919413161985
mydustbunnies;2015-04-25 06:51;0;1;"The sun is working hard for this Halifax #sunrise . #mornings #roadtrip #homewardbound @Halifax Harbour https:// instagram.com/p/15L2tQv8Ro/";;@Halifax;#sunrise #mornings #roadtrip #homewardbound;"591902273514688512";https://twitter.com/mydustbunnies/status/591902273514688512
conrad_art;2015-04-25 00:23;0;0;"Check out those eyebrows! visitor to #halifaxHarbour today. Double-crested #Cormorant https:// flic.kr/p/si1t7Y";;;#halifaxHarbour #Cormorant;"591804768550559744";https://twitter.com/conrad_art/status/591804768550559744
chad_macdonald;2015-04-24 12:43;0;0;"The fog is lifting! #HalifaxHarbour";;;#HalifaxHarbour;"591628437430870016";https://twitter.com/chad_macdonald/status/591628437430870016
emilyvryder;2015-04-23 19:58;0;0;"@___PJR just a few gaps to fill between the Cretaceous period, the Halifax harbour explosion and the first Tim Hortons, thats the jist of it";;@___PJR;;"591375554571587584";https://twitter.com/emilyvryder/status/591375554571587584
Deltas_In_HFX;2015-04-23 16:42;3;0;"This #MothersDay treat mom to our annual Mother's Day Brunch in our ballroom overlooking the Halifax Harbour ! pic.twitter.com/Ri0eryzZ5K";;;#MothersDay;"591326356891303937";https://twitter.com/Deltas_In_HFX/status/591326356891303937
eieioink;2015-04-23 16:03;0;0;"@GuildDStern @Banks_Todd @MeganLeslieMP ......looks like Leslie the Loon has been drinking too much tasty swill from Halifax harbour again !";;@GuildDStern @Banks_Todd @MeganLeslieMP;;"591316510293020673";https://twitter.com/eieioink/status/591316510293020673
Stefanie144;2015-04-22 21:57;0;0;"Another shot, this one taken on the Halifax harbour , on my way back from New York. http:// fb.me/7gMq2Ncky";;;;"591043206088892417";https://twitter.com/Stefanie144/status/591043206088892417
sandymcclearn;2015-04-22 21:17;1;3;"Interesting talk by Dr. Roger Sarty about #Halifax Harbour defences @ns_mma for #FriendsOfMcNabsIsland AGM. pic.twitter.com/wo16FFULRL";;@ns_mma;#Halifax #FriendsOfMcNabsIsland;"591033052563910656";https://twitter.com/sandymcclearn/status/591033052563910656
shawnacaspi;2015-04-22 19:16;0;2;"Latest painting: Georges Island in the #Halifax Harbour, after Hurricane Arthur @VisitNovaScotia @hfxnovascotia #hfx pic.twitter.com/tCxKqFlTL0";;@VisitNovaScotia @hfxnovascotia;#Halifax #hfx;"591002618735894528";https://twitter.com/shawnacaspi/status/591002618735894528
mikeage85;2015-04-22 13:16;0;0;"@HarlandWilliams take a dip in Halifax harbour !! What brings ya to NS?";;@HarlandWilliams;;"590912012114382850";https://twitter.com/mikeage85/status/590912012114382850
ddpg3;2015-04-21 19:28;0;0;"I am really going to miss my view of the #Halifax harbour & #Dartmouth !!!!";;;#Halifax #Dartmouth;"590643249351634944";https://twitter.com/ddpg3/status/590643249351634944
