username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Rubens_Tutu;2016-10-30 18:54;0;0;"Entrei em Shopping Pier 21 no #Yelp https://www. yelp.com.br/biz/shopping-p ier-21-bras%C3%ADlia?pt=check_in&ref=twitter&utm_campaign=CheckIn&utm_medium=twitter&utm_source=ishare&v=4b …";;;#Yelp;"792847158495973376";https://twitter.com/Rubens_Tutu/status/792847158495973376
Fraser_history;2016-10-30 18:38;3;4;"Halloween pumpkin 2016... #EmpressofIreland @Pier21 pic.twitter.com/oshlspsvaD";;@Pier21;#EmpressofIreland;"792843040708755456";https://twitter.com/Fraser_history/status/792843040708755456
_giovanamendess;2016-10-30 18:24;0;0;"Desisto de vocês Tbm migos #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792839703359852544";https://twitter.com/_giovanamendess/status/792839703359852544
_giovanamendess;2016-10-30 18:07;0;0;"Agora é sério desisto #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792835391703441408";https://twitter.com/_giovanamendess/status/792835391703441408
_giovanamendess;2016-10-30 18:06;0;0;"Acho q tá na hora de vocês me sortearem pelo menos uma vez #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792835147196497920";https://twitter.com/_giovanamendess/status/792835147196497920
_giovanamendess;2016-10-30 18:05;0;0;"Af q triste #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792834919789654016";https://twitter.com/_giovanamendess/status/792834919789654016
_giovanamendess;2016-10-30 18:04;0;0;"Decepcionada com vocês #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792834641556365313";https://twitter.com/_giovanamendess/status/792834641556365313
_giovanamendess;2016-10-30 18:02;0;0;"acha miga ? Crtz #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792834049874202624";https://twitter.com/_giovanamendess/status/792834049874202624
_giovanamendess;2016-10-30 18:01;0;0;"Quero meu voucher pf #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792833869473017856";https://twitter.com/_giovanamendess/status/792833869473017856
_giovanamendess;2016-10-30 18:01;0;0;"aguardando .. #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792833790351638528";https://twitter.com/_giovanamendess/status/792833790351638528
MessiaFernanda;2016-10-30 18:00;0;0;"Só pq quero muito ir . #1977NosCinemasDia8 + pier21";;;#1977NosCinemasDia8;"792833678422446080";https://twitter.com/MessiaFernanda/status/792833678422446080
_giovanamendess;2016-10-30 18:00;0;0;"é difícil né #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792833665034223617";https://twitter.com/_giovanamendess/status/792833665034223617
_giovanamendess;2016-10-30 18:00;0;0;"#1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA o q vocês têm contra minha pessoa";;;#1977NosCinemasDia8;"792833580988858368";https://twitter.com/_giovanamendess/status/792833580988858368
_giovanamendess;2016-10-30 17:59;0;0;"obg pela ajuda miga mas n vou ganhar não #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792833414961528833";https://twitter.com/_giovanamendess/status/792833414961528833
MessiaFernanda;2016-10-30 17:59;0;0;"Central me nota não me deixa fora dessa não . #1977NosCinemasDia8 + pier21";;;#1977NosCinemasDia8;"792833302877069312";https://twitter.com/MessiaFernanda/status/792833302877069312
_giovanamendess;2016-10-30 17:59;0;0;"nam desisto #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792833233834610689";https://twitter.com/_giovanamendess/status/792833233834610689
MessiaFernanda;2016-10-30 17:58;0;0;"Central não me deixa de fora naaooooooo . #1977NosCinemasDia8 + pier21";;;#1977NosCinemasDia8;"792833057438965760";https://twitter.com/MessiaFernanda/status/792833057438965760
_giovanamendess;2016-10-30 17:58;0;0;"Af nunca vou ganhar pq Ainda insisto ? #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792832952686247936";https://twitter.com/_giovanamendess/status/792832952686247936
_giovanamendess;2016-10-30 17:57;0;0;"puta merda miga tô desistindo #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792832816702783488";https://twitter.com/_giovanamendess/status/792832816702783488
_giovanamendess;2016-10-30 17:57;0;0;"@CentralDeFasLS é difícil a convivência com vocês #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;@CentralDeFasLS;#1977NosCinemasDia8;"792832713535488001";https://twitter.com/_giovanamendess/status/792832713535488001
MessiaFernanda;2016-10-30 17:57;0;0;"Falta euuuuuuuuu . #1977NosCinemasDia8 + pier21";;;#1977NosCinemasDia8;"792832700092743680";https://twitter.com/MessiaFernanda/status/792832700092743680
_giovanamendess;2016-10-30 17:56;0;0;"puta que pariu vocês nunca vão me notar mesmo #1977NosCinemasDia8 SHOPPING PIER 21";;;#1977NosCinemasDia8;"792832554843996160";https://twitter.com/_giovanamendess/status/792832554843996160
_giovanamendess;2016-10-30 17:55;0;0;"Eu falo que vou desistir e nunca desisto sou mt troxa #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792832304553099264";https://twitter.com/_giovanamendess/status/792832304553099264
_giovanamendess;2016-10-30 17:54;0;0;"Sério o q vcs tem contra mim ? #1977NosCinemasDia8 SHOPPING PIER 21 BRASÍLIA";;;#1977NosCinemasDia8;"792832179315376128";https://twitter.com/_giovanamendess/status/792832179315376128
_giovanamendess;2016-10-30 17:54;0;0;"Triste essa vida de votar que nem loka e nunca ganhar nada #1977NosCinemasDia8 SHOPPING PIER 21";;;#1977NosCinemasDia8;"792832092325441536";https://twitter.com/_giovanamendess/status/792832092325441536
MessiaFernanda;2016-10-30 17:54;0;0;"Querooooooo um central @CentralDeFasLS @samylaramos Eu + Você + cinema dia 08 cê topa? @CentralDeFasLS . #1977NosCinemasDia8 + pier21";;@CentralDeFasLS @samylaramos @CentralDeFasLS;#1977NosCinemasDia8;"792831968220221440";https://twitter.com/MessiaFernanda/status/792831968220221440
