username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
astronomyns;2013-10-30 20:14;2;0;"On Sun 3 Nov, weather permitting, join RASC Halifax members on Citadel Hill to observe the sunrise partial eclipse. http://www. astronomynovascotia.ca /";;;;"395690228716806144";https://twitter.com/astronomyns/status/395690228716806144
thehfxghostwalk;2013-10-30 09:48;0;0;"Last ghost walk of the season. Tonight. 8:30. Meet at the Old Town Clock on Citadel Hill";;;;"395532709277487104";https://twitter.com/thehfxghostwalk/status/395532709277487104
JennAbouTown;2013-10-30 05:53;0;0;"Hump day hills! ...can't. feel... my... toes... (@Citadel Hill ) http:// 4sq.com/1aSJjJ7";;@Citadel;;"395473478314627072";https://twitter.com/JennAbouTown/status/395473478314627072
groovin1974;2013-10-29 10:06;1;0;"The #Raven keeping watch from his perch atop #CitadelHill at #sunrise #Halifax #October #NovaScotia http:// instagram.com/p/gDWXoJwRpM/";;;#Raven #CitadelHill #sunrise #Halifax #October #NovaScotia;"395174839117692928";https://twitter.com/groovin1974/status/395174839117692928
groovin1974;2013-10-29 09:28;1;0;"Good morning #Halifax View from #Citadel#Hill on morning walk (Oct 29/13). #Crimson sky over… http:// instagram.com/p/gDR77aQRkb/";;;#Halifax #Citadel #Hill #Crimson;"395165232269893632";https://twitter.com/groovin1974/status/395165232269893632
MaridIndustries;2013-10-28 16:49;0;2;"Gorgeous day in downtown Halifax on the roof of the Citadel Redevelopment Site overlooking Citadel Hill . pic.twitter.com/403nWNGbCo";;;;"394913834483191808";https://twitter.com/MaridIndustries/status/394913834483191808
AitkensPew;2013-10-28 16:02;0;0;"In #Halifax , Prince Edward, Duke of Kent, was a stickler for detail. #CitadelHill http:// ow.ly/qeTs7";;;#Halifax #CitadelHill;"394902099013939200";https://twitter.com/AitkensPew/status/394902099013939200
groovin1974;2013-10-28 09:23;1;0;"Good #morning #Halifax View from #CitadelHill on morning #walk Welcome #sunrise http:// instagram.com/p/gAsmCRQRqA/";;;#morning #Halifax #CitadelHill #walk #sunrise;"394801479988830208";https://twitter.com/groovin1974/status/394801479988830208
thehfxghostwalk;2013-10-27 17:35;2;0;"Ghost walk tonight 8:30 old town clock on citadel hill";;;;"394562915187306496";https://twitter.com/thehfxghostwalk/status/394562915187306496
thehfxghostwalk;2013-10-27 17:34;0;0;"@k8macswain there is one tonight (Sunday oct 27). At 8:30 meet at the old town clock on citadel hill . Thanks for your interest";;@k8macswain;;"394562774111895552";https://twitter.com/thehfxghostwalk/status/394562774111895552
im_adam_barrett;2013-10-26 23:29;0;2;"I don't want to hashtag any names, but someone is peeing on citadel hill";;;;"394289683192381440";https://twitter.com/im_adam_barrett/status/394289683192381440
EBrianPaul;2013-10-26 13:26;1;0;"Black flag flying over Citadel Hill means... plague ship in the harbour? #halifax #novacotia @Citadel… http:// instagram.com/p/f7-sEMmDPr/";;@Citadel;#halifax #novacotia;"394137864109563904";https://twitter.com/EBrianPaul/status/394137864109563904
megancox;2013-10-26 12:36;0;0;"So, in short, go on the ghost tour of Citadel Hill if you get the chance! It's an excellent time! :)";;;;"394125439477620736";https://twitter.com/megancox/status/394125439477620736
megancox;2013-10-26 12:36;0;0;"Last night I carried a lantern through Fort George (aka Citadel Hill ) while someone told spooky ghost stories. It was pretty rad.";;;;"394125297827594240";https://twitter.com/megancox/status/394125297827594240
dustykeleher;2013-10-25 17:56;0;0;"Meet at the Old Town Clock on Citadel Hill at 8:30";;;;"393843617938567168";https://twitter.com/dustykeleher/status/393843617938567168
AitkensPew;2013-10-25 16:02;0;0;"In #Halifax , Prince Edward, Duke of Kent, was a stickler for detail. #CitadelHill http:// ow.ly/qatb9";;;#Halifax #CitadelHill;"393814887623065600";https://twitter.com/AitkensPew/status/393814887623065600
MCraiger58;2013-10-25 15:50;0;0;"Disagree RT " @rudyRUdyRUDY45 : Signal hill is cool and everything and imma let yall finish but citadel hill is the best hill of all time"";;@rudyRUdyRUDY45;;"393811877194510336";https://twitter.com/MCraiger58/status/393811877194510336
LisaAnn_37;2013-10-25 13:55;0;0;"Town Clock - Citadel Hill , Halifax, Nova Scotia http://www. bluegreenphotography.com http://www. facebook.com/bluegr http:// pinterest.com/pin/2666982276 6975798/ …";;;;"393782956344745984";https://twitter.com/LisaAnn_37/status/393782956344745984
NATAtlantic;2013-10-25 11:08;2;0;"Go team! RT @lewiSEAN : My team @NATatlantic Ascent is running up & down #CitadelHill 80 times for @TheArthSocNS #VirtualEverest #Halifax ...";;@lewiSEAN @NATatlantic @TheArthSocNS;#CitadelHill #VirtualEverest #Halifax;"393740851601752064";https://twitter.com/NATAtlantic/status/393740851601752064
athibeau36;2013-10-25 00:32;2;1;"Can't wait to run citadel hill tomorrow morning :)))))))";;;;"393580824190529536";https://twitter.com/athibeau36/status/393580824190529536
thehfxghostwalk;2013-10-24 18:04;0;0;"@Brian35112316 The Ghost Walk starts at 8:30 at the old town clock on Citadel Hill";;@Brian35112316;;"393483238024675328";https://twitter.com/thehfxghostwalk/status/393483238024675328
gomargo2;2013-10-24 16:58;0;0;"@vcnva Just passed your Uncle Jackie on Citadel Hill . #FriendlyNod &Smile";;@vcnva;#FriendlyNod;"393466603515699200";https://twitter.com/gomargo2/status/393466603515699200
LauraORourke;2013-10-24 14:53;0;0;"Ran up and down a windy Citadel Hill today. It actually was a lot more fun than I expected! #TNTMiracles http:// instagram.com/p/f2_XvUgqW5/";;;#TNTMiracles;"393435063809241088";https://twitter.com/LauraORourke/status/393435063809241088
LauraORourke;2013-10-24 14:24;0;0;"@JessLillian Right? Maybe that's why today's Citadel Hill run was way easier than expected!";;@JessLillian;;"393427794425688064";https://twitter.com/LauraORourke/status/393427794425688064
LauraORourke;2013-10-24 14:22;0;1;"Just completed a 4.89 km run - Citadel Hill was all mine today. #TNTMiracles Hill training. http:// rnkpr.com/a4bqm6j #RunKeeper";;;#TNTMiracles #RunKeeper;"393427299753656321";https://twitter.com/LauraORourke/status/393427299753656321
ctmollins;2013-10-23 23:17;1;1;"Girl I be pointing my canon at ya from citadel hill . #halifaxpickuplines";;;#halifaxpickuplines;"393199534052241408";https://twitter.com/ctmollins/status/393199534052241408
andrew_muise;2013-10-23 17:31;0;0;"Great evening for a run on Citadel Hill . #running #fall #workout #halifax @chelsscrawford http:// instagram.com/p/f0slpBjFuf/";;@chelsscrawford;#running #fall #workout #halifax;"393112583362084864";https://twitter.com/andrew_muise/status/393112583362084864
lisahac;2013-10-23 16:55;0;0;"@emmacpower greener than citadel hill during tourist season.";;@emmacpower;;"393103514056278017";https://twitter.com/lisahac/status/393103514056278017
JonnyNS;2013-10-23 10:17;0;3;"“ @deturbide10 : Ill climb you like Citadel Hill and make you come faster than Casino Taxi #HalifaxPickupLines ” @HFXpickuplines";;@deturbide10 @HFXpickuplines;#HalifaxPickupLines;"393003350998138880";https://twitter.com/JonnyNS/status/393003350998138880
groovin1974;2013-10-23 09:25;0;0;"Good morning #Halifax :View from #CitadelHill on morning walk (Oct 23/13). Clearing skies on the horizon. pic.twitter.com/4Oc6Dp5cat";;;#Halifax #CitadelHill;"392990177078951937";https://twitter.com/groovin1974/status/392990177078951937
BakerOfHalifax;2013-10-23 06:23;0;0;"Running baby! (@Citadel Hill ) http:// 4sq.com/18aCj8M";;@Citadel;;"392944243205222400";https://twitter.com/BakerOfHalifax/status/392944243205222400
hmackdawg6;2013-10-22 22:05;0;6;"I may not be citadel hill , but you can sure sit on my dill #halifaxpickuplines";;;#halifaxpickuplines;"392819042685571072";https://twitter.com/hmackdawg6/status/392819042685571072
donaldviolin;2013-10-22 22:01;1;0;"@themoderngrass @themoderngrass live at #Citadel Hill #halifax @Donnini's Pizza http:// instagram.com/p/fymU9yJquW/";;@themoderngrass @themoderngrass @Donnini;#Citadel #halifax;"392818026825150464";https://twitter.com/donaldviolin/status/392818026825150464
alexhazlehurst;2013-10-22 21:20;1;12;"Just picture Colin MacKinley rollerblading down citadel hill in a thong";;;;"392807705179869184";https://twitter.com/alexhazlehurst/status/392807705179869184
donaldviolin;2013-10-22 19:50;0;0;"Playing at Citadel Hill with @themoderngrass #halifax http:// instagram.com/p/fyPZYKJqtd/";;@themoderngrass;#halifax;"392785153673936896";https://twitter.com/donaldviolin/status/392785153673936896
krisp131;2013-10-22 19:38;0;0;"@edaer Thanks for the thought, but sadly, no, it's an actual event in Hfx where teams climb the equivalent of Everest on Citadel Hill .";;@edaer;;"392781968070291457";https://twitter.com/krisp131/status/392781968070291457
GageReid14;2013-10-22 19:11;0;1;"You make my penis go off like a cannon on citadel hill . #halifaxpickuplines";;;#halifaxpickuplines;"392775286783496192";https://twitter.com/GageReid14/status/392775286783496192
thehfxghostwalk;2013-10-22 18:08;1;0;"Dusty leads the Halifax Ghost walk tonight. Meet at the old town clock on citadel hill at 8:30";;;;"392759395576479745";https://twitter.com/thehfxghostwalk/status/392759395576479745
HollyImusic;2013-10-22 18:02;0;0;"Are you citadel hill ? Cause I'd like to sit on yo hills maa";;;;"392757861748469760";https://twitter.com/HollyImusic/status/392757861748469760
bradronahan;2013-10-22 16:29;1;0;"#halifaxpickuplines I'd ride you down Citadel Hill";;;#halifaxpickuplines;"392734391392550913";https://twitter.com/bradronahan/status/392734391392550913
lewiSEAN;2013-10-22 14:03;2;1;"My team @NATatlantic Ascent is running up & down #CitadelHill 80 times for @TheArthSocNS #VirtualEverest #Halifax http:// shar.es/ENb6M";;@NATatlantic @TheArthSocNS;#CitadelHill #VirtualEverest #Halifax;"392697626543403008";https://twitter.com/lewiSEAN/status/392697626543403008
SteeIWoIf;2013-10-22 11:51;0;1;"Wanna come to citadel hill ? I can show you my old town cock #halifaxpickuplines";;;#halifaxpickuplines;"392664578041323520";https://twitter.com/SteeIWoIf/status/392664578041323520
