username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
northendrunners;2018-04-29 20:31;0;1;"shout out to some of our crew trying to keep their eyes on the prize at MEC Race 2 at Citadel Hill today - #racingisliving #crewlove #runthenorth #foggygoggles #mec #citadelhill https:// ift.tt/2jhXBAZ pic.twitter.com/mYkHNiNmLs";;;#racingisliving #crewlove #runthenorth #foggygoggles #mec #citadelhill;"990735408576200704";https://twitter.com/northendrunners/status/990735408576200704
HRMFireNews;2018-04-29 14:56;0;2;"Hey maybe they can light Citadel Hill on fire again! https:// twitter.com/seasidefm/stat us/990646316291186688 …";;;;"990650935918645249";https://twitter.com/HRMFireNews/status/990650935918645249
AtlanticChip;2018-04-29 13:45;0;0;"MEC 2 - Citadel Hill - Results: http:// atlanticchip.ca/results-search/ http:// atlanticchip.ca/results-search/";;;;"990633305874812929";https://twitter.com/AtlanticChip/status/990633305874812929
stephen_hutton;2018-04-29 11:57;0;2;"Ran the @mec race around citadel hill today! Felt great! First time running without a soccer ball flying from my feet in a few years! Legs hurting in new places.";;@mec;;"990605929908461568";https://twitter.com/stephen_hutton/status/990605929908461568
Ms_Marchand;2018-04-29 10:52;1;8;"A surprisingly good and rainy run up and down Citadel Hill this morning! pic.twitter.com/uBM17t1Lcx";;;;"990589680260395009";https://twitter.com/Ms_Marchand/status/990589680260395009
sebastian_ferns;2018-04-27 19:36;0;0;"Finally got the old girl back out for a night on the town... #maritimeevenings @Citadel Hill https://www. instagram.com/p/BiF0H0knHUE/";;@Citadel;#maritimeevenings;"989996838513270786";https://twitter.com/sebastian_ferns/status/989996838513270786
joleneraejepsen;2018-04-27 16:57;0;11;"Cab driver on the way into Halifax told me “don’t go to citadel hill at night, it’s where all the homosexuals are” .... well I know where I’ll be going tonight!";;;;"989956645722583040";https://twitter.com/joleneraejepsen/status/989956645722583040
clintcoady;2018-04-26 19:32;0;0;"Coming to #Halifax ? Get a free tour of #CitadelHill on July 28! https:// twitter.com/ParksCanada/st atus/989182305339166725 …";;;#Halifax #CitadelHill;"989633253073137666";https://twitter.com/clintcoady/status/989633253073137666
hfxnovascotia;2018-04-26 15:00;1;8;"Not a bad way to wake up in #Halifax Jaw-dropping views of Citadel Hill courtesy of @HamptonInnYHZ Learn more: http:// ht.ly/b62N30jGMwi pic.twitter.com/RLWK2yeTW9";;@HamptonInnYHZ;#Halifax;"989564907136999424";https://twitter.com/hfxnovascotia/status/989564907136999424
ClanKennedys;2018-04-26 14:49;1;2;"Some musts for family-friendly activities are: Citadel Hill , The Fortress of Louisburg, A visit to the Gaelic College, The Harbour Hopper (HFX or Syd), camping, lazy beach days ended with the best sunsets #AllTravelChat";;;#AllTravelChat;"989562003298635777";https://twitter.com/ClanKennedys/status/989562003298635777
