username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
farawayplanets;2014-10-30 20:26;0;0;"Today on GJ 832 b: Swissair Flight 111 crashes near Peggys Cove , Nova Scotia. All 229 people on board are killed (1998/9/2)";;;;"527964672557715456";https://twitter.com/farawayplanets/status/527964672557715456
lyssajarvis;2014-10-30 16:52;0;0;"#tbt to family vacation in Halifax #peggyscove #missyou http:// instagram.com/p/uyf74PQ9t5/";;;#tbt #peggyscove #missyou;"527910874283929600";https://twitter.com/lyssajarvis/status/527910874283929600
awesomewalt;2014-10-30 11:13;0;0;"Peggys Cove lighthouse, Nova Scotia, Canada - View On WordPress http:// tmblr.co/ZBaNrm1UOILdy";;;;"527825557032292353";https://twitter.com/awesomewalt/status/527825557032292353
awesomewalt;2014-10-30 11:13;0;0;"Peggys Cove lighthouse, Nova Scotia, Canada http:// wp.me/p5bPQo-2k";;;;"527825552908890112";https://twitter.com/awesomewalt/status/527825552908890112
AvardW;2014-10-30 06:12;0;0;"Photo: Church Road Peggys Cove , Nova Scotia http:// tmblr.co/Z8V2cu1UNby3g";;;;"527749880572571648";https://twitter.com/AvardW/status/527749880572571648
dordor21;2014-10-29 22:15;0;0;"So much wow in one picture aha #latepost #peggyscove #nephew #girlfriend http:// instagram.com/p/uwgHQyoDvk/";;;#latepost #peggyscove #nephew #girlfriend;"527629790111481857";https://twitter.com/dordor21/status/527629790111481857
AlertesVoyage;2014-10-29 21:01;0;0;"Bonne nuit de Peggys Cove en Nouvelle Écosse ! pic.twitter.com/eMdl7hm1rq";;;;"527611250780684288";https://twitter.com/AlertesVoyage/status/527611250780684288
danieleangelo10;2014-10-29 20:34;1;1;"Peggys Cove . Canada. pic.twitter.com/PvaM0uGi1l";;;;"527604344573923328";https://twitter.com/danieleangelo10/status/527604344573923328
hfxnovascotia;2014-10-29 16:57;2;4;"FANTASTIC shot! RT @BassJammer67 @ehCanadaTravel amazing #PeggysCove pic.twitter.com/PBhRi0tWuM";;@BassJammer67 @ehCanadaTravel;#PeggysCove;"527549900456988672";https://twitter.com/hfxnovascotia/status/527549900456988672
OttawaBass67;2014-10-29 16:46;0;1;"@ehCanadaTravel @hfxnovascotia amazing #PeggysCove pic.twitter.com/ahppbwlFJm";;@ehCanadaTravel @hfxnovascotia;#PeggysCove;"527547155347931137";https://twitter.com/OttawaBass67/status/527547155347931137
notyourbay;2014-10-29 15:22;1;0;"hate to be that person who posts pictures of peggys cove , but like... those waves though pic.twitter.com/lywwcDywpj";;;;"527525828708794369";https://twitter.com/notyourbay/status/527525828708794369
HikingTwrdHome;2014-10-29 11:10;0;0;"Peggys Cove Lighthouse #peggyscove #novascotia #lighthouse #lighthouses #sunset #landscapephotography … http:// instagram.com/p/uvT_YVt76G/";;;#peggyscove #novascotia #lighthouse #lighthouses #sunset #landscapephotography;"527462392595496961";https://twitter.com/HikingTwrdHome/status/527462392595496961
nswebcams;2014-10-29 10:38;3;7;"We changed our header photo; and we love it! http://www. novascotiawebcams.com/en/webcams/peg gys-cove-lighthouse/ … #PeggysCove #NovaScotia pic.twitter.com/CnxVcpfkNX";;;#PeggysCove #NovaScotia;"527454322968498176";https://twitter.com/nswebcams/status/527454322968498176
HikingTwrdHome;2014-10-29 02:37;0;0;"The Old Man and the Sea #peggyscove #novascotia #heisntreallyTHATold #justwhatcametomind … http:// instagram.com/p/uuZREIt78V/";;;#peggyscove #novascotia #heisntreallyTHATold #justwhatcametomind;"527333259026247680";https://twitter.com/HikingTwrdHome/status/527333259026247680
