username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
MistyCartmill;2015-04-29 16:36;0;0;"It's been s cold spring here...trying to see the beauty. Repost. #peggyscove #ns @Peggys Cove , Nova… https:// instagram.com/p/2Eh9hqrVyK/";;@Peggys;#peggyscove #ns;"593498998096277504";https://twitter.com/MistyCartmill/status/593498998096277504
nswebcams;2015-04-29 15:30;4;9;"Lots of visitors at #PeggysCove today! http://www. novascotiawebcams.com/en/webcams/peg gys-cove-lighthouse/ … #lighthouse #NovaScotia #Canada #NSWebcams pic.twitter.com/kubuKk5t7r";;;#PeggysCove #lighthouse #NovaScotia #Canada #NSWebcams;"593482393790611456";https://twitter.com/nswebcams/status/593482393790611456
KathyLeeMunro;2015-04-29 02:01;0;0;"Ahhhh Nova Scotia #novascotia #peggyscove #eastcoast https:// instagram.com/p/2C92ssTYE4/";;;#novascotia #peggyscove #eastcoast;"593278860759818241";https://twitter.com/KathyLeeMunro/status/593278860759818241
nadiabecker8;2015-04-28 18:29;1;2;"East Coast Living #PeggysCove pic.twitter.com/XQsXIkVw94";;;#PeggysCove;"593165134111051777";https://twitter.com/nadiabecker8/status/593165134111051777
martinmo1970;2015-04-28 15:17;0;0;"Beast porcupine peggyscove https:// instagram.com/p/2B0JBwr17N/";;;;"593116762964631553";https://twitter.com/martinmo1970/status/593116762964631553
martinmo1970;2015-04-28 14:54;0;0;"End of the world (@Peggy's Cove in Peggys Cove , NS) https://www. swarmapp.com/c/jbQQ0Ivyu63";;@Peggy;;"593110957741744128";https://twitter.com/martinmo1970/status/593110957741744128
monkeysandmore;2015-04-28 11:30;0;1;"http:// monkeysandmore.com Wish it was warmer in Digby!!! UGH! #novascotia #halifax #eastcoast #peggyscove pic.twitter.com/6ZmOeN43xi";;;#novascotia #halifax #eastcoast #peggyscove;"593059625253109762";https://twitter.com/monkeysandmore/status/593059625253109762
SeaAndBeScene;2015-04-27 23:24;3;7;"Lovely shot of #PeggysCove Ms.M! #NovaScotia https:// twitter.com/Shawnamac_/sta tus/592876579262504961 …";;;#PeggysCove #NovaScotia;"592876970012188672";https://twitter.com/SeaAndBeScene/status/592876970012188672
Shawnamac_;2015-04-27 23:18;0;2;"Peggys Cove Village in April http://www. deviantart.com/print/37985708 #NovaScotia #Photography";;;#NovaScotia #Photography;"592875446544531456";https://twitter.com/Shawnamac_/status/592875446544531456
Shawnamac_;2015-04-27 22:10;1;1;"" Peggys Cove - Old Fishing Boat" by Shawna Mac http:// shawnamac.deviantart.com/art/Peggys-Cov e-Old-Fishing-Boat-529613885 … #NovaScotia #HDR #photography";;;#NovaScotia #HDR #photography;"592858494962946049";https://twitter.com/Shawnamac_/status/592858494962946049
Shawnamac_;2015-04-27 22:02;1;2;"" Peggys Cove Lighthouse - Spring Storm" by Shawna Mac http:// shawnamac.deviantart.com/art/Peggys-Cov e-Lighthouse-Spring-Storm-529613822 … #NovaScotia #photography";;;#NovaScotia #photography;"592856441100365824";https://twitter.com/Shawnamac_/status/592856441100365824
Shawnamac_;2015-04-27 21:49;0;0;""MIddle Point Road Peggys Cove Nova Scotia" by ShawnaMac http:// shawnamac.deviantart.com/art/MIddle-Poi nt-Road-Peggys-Cove-Nova-Scotia-529613857 … #hdr #photography";;;#hdr #photography;"592853214908829697";https://twitter.com/Shawnamac_/status/592853214908829697
Shawnamac_;2015-04-27 21:33;0;0;"" Peggys Cove Lighthouse in April" http:// shawnamac.deviantart.com/art/Peggys-Cov e-Lighthouse-in-April-529613907 … #NovaScotia #photography";;;#NovaScotia #photography;"592849092038008833";https://twitter.com/Shawnamac_/status/592849092038008833
haligoniaphotos;2015-04-27 21:30;3;7;"from @ma_zen .001 Took my #inspire1 for a flight around #peggyscove at #sunset pic.twitter.com/KEIvyc5DJ4";;@ma_zen;#inspire1 #peggyscove #sunset;"592848236496461825";https://twitter.com/haligoniaphotos/status/592848236496461825
CBCNS;2015-04-27 20:57;1;1;"Today's most-commented story: Peggys Cove life-saving equipment needed, says Jamie Quattrocchi's mother http://www. cbc.ca/1.3050334 #cbcns";;;#cbcns;"592839985449013250";https://twitter.com/CBCNS/status/592839985449013250
CTVAtlantic;2015-04-27 20:39;2;2;"Calls for new safety measures from family of man swept out to sea at Peggys Cove : The grieving family of an On... http:// bit.ly/1dmmmGY";;;;"592835558038208512";https://twitter.com/CTVAtlantic/status/592835558038208512
AJNovaScotia;2015-04-27 19:38;1;1;""A Ropey Collection" #PeggysCove #NovaScotia pic.twitter.com/yLEGmd0h4D";;;#PeggysCove #NovaScotia;"592820188531286021";https://twitter.com/AJNovaScotia/status/592820188531286021
RealityCheckCa;2015-04-27 18:54;0;0;"Life-saving equipment needed at Peggys Cove ? http:// bit.ly/1PO29rm #Halifax";;;#Halifax;"592809057188225024";https://twitter.com/RealityCheckCa/status/592809057188225024
joescanlan949;2015-04-27 18:06;0;0;"Why are their not life rings placed around the area on the rocks at Peggys Cove .";;;;"592797096119554050";https://twitter.com/joescanlan949/status/592797096119554050
MaxBetman;2015-04-27 18:01;0;0;"There are signs everywhere. #PeggysCove";;;#PeggysCove;"592795733021065216";https://twitter.com/MaxBetman/status/592795733021065216
Digital_Tech14;2015-04-27 17:44;0;0;"Peggys Cove life-saving equipment needed, says Jamie Quattrocchi's mother http:// fw.to/mLcorPl";;;;"592791423554031617";https://twitter.com/Digital_Tech14/status/592791423554031617
lovevalleylife;2015-04-27 17:42;0;0;"#PeggysCove . #family demands....no amount of safety gear or signage can fix stupid.";;;#PeggysCove #family;"592791009907580928";https://twitter.com/lovevalleylife/status/592791009907580928
RJennromao;2015-04-27 16:35;0;0;"“ @OttawaCitizen :Sad news: #SmithsFalls man swept into the ocean off #PeggysCove http:// ottawacitizen.com/news/local-new s/smiths-falls-man-swept-into-the-ocean-off-nova-scotia-seaside-resort … pic.twitter.com/SCWkIJKPZ3 ” @RJennromao RT";;@OttawaCitizen @RJennromao;#SmithsFalls #PeggysCove;"592774058229538816";https://twitter.com/RJennromao/status/592774058229538816
PoliticalPetard;2015-04-27 15:05;0;1;"Peggys cove has been an Iconic image of a sea swept lighthouse for almost a century "Sea Swept" what part of that don't people get";;;;"592751402897772544";https://twitter.com/PoliticalPetard/status/592751402897772544
