username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
thawabe;2016-10-30 15:06;0;1;"Halifax - Halifax public gardens #fall #photo #novascotia #downtown #halifax #park #canon7d … https://www. instagram.com/p/BMMcAvhB8dJ/";;;#fall #photo #novascotia #downtown #halifax #park #canon7d;"792789705943240705";https://twitter.com/thawabe/status/792789705943240705
cbcbooks;2016-10-29 18:30;0;2;"Robots in disguise... in the Halifax Public Gardens : http://www. cbc.ca/beta/news/cana da/nova-scotia/giant-robot-comics-exclusive-transformers-comic-takes-place-at-public-gardens-1.3820421 …";;;;"792478622741180416";https://twitter.com/cbcbooks/status/792478622741180416
Dapper_Van;2016-10-27 13:49;0;0;"Oh, you wanted to have fun? Too bad. #publicgardens #funpolice @Halifax Public Gardens https://www. instagram.com/p/BMEttN6jbDO/";;@Halifax;#publicgardens #funpolice;"791683211315347458";https://twitter.com/Dapper_Van/status/791683211315347458
JoellineG;2016-10-27 08:37;0;1;"A little happiness for your Thursday morning #dahlias #tbt #halifax #halifaxpublicgardens … https://www. instagram.com/p/BMEJ-99jbaw/";;;#dahlias #tbt #halifax #halifaxpublicgardens;"791604656736698368";https://twitter.com/JoellineG/status/791604656736698368
TCOrobin;2016-10-26 13:06;0;0;"Giant alien robots are taking over the Halifax Public Gardens http:// bit.ly/2erObBL";;;;"791309919240720384";https://twitter.com/TCOrobin/status/791309919240720384
Alfa_Alfeta;2016-10-25 19:16;0;0;"Giant alien robots are taking over the Halifax Public Gardens : A Dartmouth... http:// ln.is/9FfLn by #BreakingNSNews via @c0nvey";;@c0nvey;#BreakingNSNews;"791040825253847041";https://twitter.com/Alfa_Alfeta/status/791040825253847041
mini_bubbly;2016-10-25 16:11;0;0;"Limited copies available with the NS artwork...Giant alien robots are taking over the Halifax Public Gardens http://www. cbc.ca/1.3820421";;;;"790994175063891968";https://twitter.com/mini_bubbly/status/790994175063891968
Jer_Godfrey;2016-10-25 16:07;0;0;"Giant alien robots are taking over the Halifax Public Gardens http://www. cbc.ca/1.3820421";;;;"790993141893570560";https://twitter.com/Jer_Godfrey/status/790993141893570560
wardrachel;2016-10-25 15:10;1;1;"How much fun is this! Giant alien robots are taking over the Halifax Public Gardens http://www. cbc.ca/1.3820421 pic.twitter.com/Nt7rXS2CeH";;;;"790978947441844224";https://twitter.com/wardrachel/status/790978947441844224
halifaxnews;2016-10-25 14:32;1;1;"Giant alien robots are taking over the Halifax Public Gardens http:// dld.bz/fbAGG";;;;"790969200168865793";https://twitter.com/halifaxnews/status/790969200168865793
BreakingNSNews;2016-10-25 14:17;4;1;"Giant alien robots are taking over the Halifax Public Gardens : A Dartmouth comic store has commissioned a Nova… http:// m.tbnn.it/MWtQHz";;;;"790965453464100864";https://twitter.com/BreakingNSNews/status/790965453464100864
lokolHalifax;2016-10-25 14:14;0;0;"Giant alien robots are taking over the Halifax Public Gardens http://www. cbc.ca/news/canada/no va-scotia/giant-robot-comics-exclusive-transformers-comic-takes-place-at-public-gardens-1.3820421?cmp=rss …";;;;"790964707993739264";https://twitter.com/lokolHalifax/status/790964707993739264
goCapeBreton;2016-10-25 14:10;0;0;"Giant alien robots are taking over the Halifax Public Gardens http://www. cbc.ca/news/canada/no va-scotia/giant-robot-comics-exclusive-transformers-comic-takes-place-at-public-gardens-1.3820421?cmp=rss …";;;;"790963839080755201";https://twitter.com/goCapeBreton/status/790963839080755201
