username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hfxgov;2018-04-27 13:25;22;71;"Our Agave has been planted and is enjoying the beautiful weather. Visit the Halifax Public Gardens today! pic.twitter.com/Yfq7jWSoin";;;;"989903346097061889";https://twitter.com/hfxgov/status/989903346097061889
hfxgov;2018-04-27 09:42;1;1;"One of the entrance gates to the Halifax Public Gardens (corner of Spring Garden Rd, and South Park St,) will be closed for the day. All other entrances will be maintained https:// bit.ly/2I2NwmV";;;;"989847152250773505";https://twitter.com/hfxgov/status/989847152250773505
HalifaxNSNews;2018-04-26 15:36;0;0;"Halifax Public Gardens ' agave hanging in there, despite less than ideal weather for desert plant - T - https://www. thestar.com/halifax/2018/0 4/26/halifax-public-gardens-agave-hanging-in-there-despite-less-than-ideal-weather-for-desert-plant.html …";;;;"989573841201516544";https://twitter.com/HalifaxNSNews/status/989573841201516544
phonepicshfx;2018-04-23 07:45;2;10;"#halifaxpublicgardens yesterday. Sitting on a park bench in the warm sun with Mrs. Phonepics warms the heart. pic.twitter.com/ogsU3fF4Pd";;;#halifaxpublicgardens;"988368233983070210";https://twitter.com/phonepicshfx/status/988368233983070210
kkingrscj;2018-04-22 16:50;0;0;"Consider the Lilies: Earth Day Cathedral http:// bit.ly/riotousglory . #WeAreSacredHeart #EarthDay2018 #RSCJ #HalifaxPublicGardens";;;#WeAreSacredHeart #EarthDay2018 #RSCJ #HalifaxPublicGardens;"988143138945601536";https://twitter.com/kkingrscj/status/988143138945601536
anetto;2018-04-20 14:01;0;0;"Easy to find interesting places in walking distance. Like the Halifax Public Gardens . Saw the giant agave plant growing 15 cm per day. #Halifax pic.twitter.com/krtJ53i4IP";;;#Halifax;"987375710867279872";https://twitter.com/anetto/status/987375710867279872
virginiamwhite;2018-04-19 14:24;0;0;"Stalk of plant at Halifax Public Gardens could reach 40 feet tall (3 photos) https://www. halifaxtoday.ca/local-news/sta lk-of-plant-at-halifax-public-gardens-could-reach-40-feet-tall-3-photos-897824 … via @HalifaxToday";;@HalifaxToday;;"987019184768012290";https://twitter.com/virginiamwhite/status/987019184768012290
StooMetz;2018-04-19 10:43;0;0;"One of the Halifax Public Gardens ' Agave americana, commonly known as the century plant, sent out its reproductive stalk — or mast — last week and continues to grow at a staggering rate of more than 15 centimetres a day. http://www. cbc.ca/news/canada/no va-scotia/agave-public-gardens-plant-1.4624913 …";;;;"986963589264281600";https://twitter.com/StooMetz/status/986963589264281600
NikiJabbour;2018-04-19 07:25;1;6;"Stalk of plant at Halifax Public Gardens could reach 40 feet tall (3 photos) https://www. halifaxtoday.ca/local-news/sta lk-of-plant-at-halifax-public-gardens-could-reach-40-feet-tall-3-photos-897824 … via @HalifaxToday";;@HalifaxToday;;"986913561602592769";https://twitter.com/NikiJabbour/status/986913561602592769
rj_audiman;2018-04-18 20:34;1;3;"Maybe put a camera on it for the record #timelapse #agave #halifaxpublicgardens";;;#timelapse #agave #halifaxpublicgardens;"986749725654376448";https://twitter.com/rj_audiman/status/986749725654376448
valentino_nora;2018-04-18 18:44;0;0;"A peek at what? Something at the @HalifaxPublicGardens ?";;@HalifaxPublicGardens;;"986722041821724672";https://twitter.com/valentino_nora/status/986722041821724672
NEWS957;2018-04-18 18:00;3;4;"Stalk of plant at Halifax Public Gardens could reach 40 feet tall https://www. halifaxtoday.ca/local-news/sta lk-of-plant-at-halifax-public-gardens-could-reach-40-feet-tall-3-photos-897824 …";;;;"986710975163191296";https://twitter.com/NEWS957/status/986710975163191296
HalifaxToday;2018-04-18 17:16;0;0;"Stalk of plant at Halifax Public Gardens could reach 40 feet tall (3 photos) https://www. halifaxtoday.ca/local-news/sta lk-of-plant-at-halifax-public-gardens-could-reach-40-feet-tall-3-photos-897824?utm_source=dlvr.it&utm_medium=twitter … pic.twitter.com/J4IGcBqdEG";;;;"986700025148334080";https://twitter.com/HalifaxToday/status/986700025148334080
lokolHalifax;2018-04-18 13:00;0;0;"Halifax Public Gardens Agave plant beginning to flower https:// halifax.lokol.me/s/halifax-publ ic-gardens-agave-plant-beginning-to-flower-47626-1335219 … #lokol #halifax";;;#lokol #halifax;"986635698492067845";https://twitter.com/lokolHalifax/status/986635698492067845
OtizJ;2018-04-18 12:29;0;0;"Retweeted hfxgov ( @hfxgov ): Residents are invited to visit the Halifax Public Gardens to witness the blooming process of one of our largest Agave plants - a moment we've been waiting more than two decade for! https:// bit.ly/2HwKadS pic.twitter.com/CRQDEADC0k";;@hfxgov;;"986627701216772096";https://twitter.com/OtizJ/status/986627701216772096
hfxgov;2018-04-18 11:43;110;183;"Residents are invited to visit the Halifax Public Gardens to witness the blooming process of one of our largest Agave plants - a moment we've been waiting more than two decade for! https:// bit.ly/2HwKadS pic.twitter.com/3TzIF6sObo";;;;"986616289526509573";https://twitter.com/hfxgov/status/986616289526509573
hfxgov;2018-04-17 14:00;0;1;"The Halifax Public Gardens will be closed for the rest of the day due to weather and pathway conditions";;;;"986288327816081410";https://twitter.com/hfxgov/status/986288327816081410
NikiJabbour;2018-04-17 07:32;3;8;"Have you ever seen an agave plant flower? If you're in Halifax, you'll want to check out the 25 year old specimen about to bloom at the Halifax Public Gardens . Details below. https://www. facebook.com/NikiJabbour/po sts/1924652797576973 …";;;;"986190757978624000";https://twitter.com/NikiJabbour/status/986190757978624000
SallyMeadows;2018-04-16 13:55;0;0;"Halifax, Nova Scotia is one of my favourite cities to visit. Check out my most recent blog about the #HalifaxPublicGardens https:// sallymeadows.com/home/blog/hali fax-public-gardens-18-gorgeous-photos … @ExploreCanada @ExploreHalifax @TourismNS #Halifax #NovaScotia #gardens #discoverhalifax #halifaxtourism";;@ExploreCanada @ExploreHalifax @TourismNS;#HalifaxPublicGardens #Halifax #NovaScotia #gardens #discoverhalifax #halifaxtourism;"985924734310277120";https://twitter.com/SallyMeadows/status/985924734310277120
