username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bickypeg;2016-10-30 14:14;0;0;"if they live eg in Huddersfield they'll have to travel to Halifax . Insane.";;;;"792776630280355842";https://twitter.com/bickypeg/status/792776630280355842
agilani46;2016-10-30 12:42;0;0;"#TO , #GTA , #Calgary , #Montreal , #Halifax , #PEI , #Ont , #Canada , #Newyork , #LA , #USA , Watch this beautiful video on travel . https:// youtu.be/KBekIfsrFNY";;;#TO #GTA #Calgary #Montreal #Halifax #PEI #Ont #Canada #Newyork #LA #USA;"792753549457367040";https://twitter.com/agilani46/status/792753549457367040
Sharitucker;2016-10-30 08:31;0;0;"Dreaming of #travel ? Visit Gallery Nineteen Nineteen in #Halifax for my Wanderlust Art show until Oct 20. pic.twitter.com/Z197dMJep3";;;#travel #Halifax;"792690293606866944";https://twitter.com/Sharitucker/status/792690293606866944
511southwestva;2016-10-30 06:58;1;0;"Accident: EB on US-58 at MM319 in Halifax Co. 1 travel lane closed. Potential Delays.5:58AM";;;;"792666978649509888";https://twitter.com/511southwestva/status/792666978649509888
UNBSportclubs;2016-10-29 20:52;5;3;"Lacrosse - Final Score 9 @Bucs_Lacrosse 7 @AcadiaLaxmen . The Bucs travel to Halifax to face @DalLacrosse tomorrow at 11am! #AllHandsOnDeck pic.twitter.com/vydNIzsD3F";;@Bucs_Lacrosse @AcadiaLaxmen @DalLacrosse;#AllHandsOnDeck;"792514424326193154";https://twitter.com/UNBSportclubs/status/792514424326193154
agilani46;2016-10-29 16:23;0;0;"#TO , #GTA , #Calgary , #Montreal , #Halifax , #PEI , #Ont , #Canada , #Newyork , #LA , #USA , Watch this beautiful video on travel . https:// youtu.be/KBekIfsrFNY";;;#TO #GTA #Calgary #Montreal #Halifax #PEI #Ont #Canada #Newyork #LA #USA;"792446896103194624";https://twitter.com/agilani46/status/792446896103194624
511southwestva;2016-10-29 09:16;1;0;"Accident: SB on US-501 at MM14 in Halifax Co. 1 travel lane closed. Potential Delays.8:16AM";;;;"792339301879181312";https://twitter.com/511southwestva/status/792339301879181312
GC_Rail;2016-10-29 08:36;0;0;"(2/2) Passengers for Wakefield, Mirfield, Brighouse, Halifax & Bradford are to travel on our 16:36 departure from Kings X";;;;"792329257498316800";https://twitter.com/GC_Rail/status/792329257498316800
511southwestva;2016-10-29 07:28;1;0;"Update: Accident: WB on US-58 at MM324 in Halifax Co. 1 travel lane closed. Potential Delays.6:28AM";;;;"792312132633231361";https://twitter.com/511southwestva/status/792312132633231361
511statewideva;2016-10-28 19:18;0;0;"Update: Accident: EB on US-58 at MM333 in Halifax Co. All travel lanes closed. Potential Delays.6:18PM";;;;"792128435409813505";https://twitter.com/511statewideva/status/792128435409813505
511southwestva;2016-10-28 19:18;1;0;"Update: Accident: EB on US-58 at MM333 in Halifax Co. All travel lanes closed. Potential Delays.6:18PM";;;;"792128433757224960";https://twitter.com/511southwestva/status/792128433757224960
511statewideva;2016-10-28 18:22;0;0;"Update: Accident: EB on US-58 at MM333 in Halifax Co. All travel lanes closed. Delay 1 mi.5:22PM";;;;"792114359812124673";https://twitter.com/511statewideva/status/792114359812124673
511southwestva;2016-10-28 18:22;1;0;"Update: Accident: EB on US-58 at MM333 in Halifax Co. All travel lanes closed. Delay 1 mi.5:22PM";;;;"792114358167957504";https://twitter.com/511southwestva/status/792114358167957504
VaDOTLynchburg;2016-10-28 17:01;0;0;"US 58 E near Rt 601/658, Halifax County: Travel lanes closed due to crash. Expect delays.";;;;"792093871220133889";https://twitter.com/VaDOTLynchburg/status/792093871220133889
511southwestva;2016-10-28 16:46;2;0;"Accident: EB on US-58 at MM333 in Halifax Co. All travel lanes closed. Potential Delays.3:46PM";;;;"792090185198690304";https://twitter.com/511southwestva/status/792090185198690304
Globe_Guide;2016-10-28 13:11;0;1;"Hello Halifax ! A guide to the city’s best activities: http:// bit.ly/2elgBKn #VisitNovaScotia #ExploreCanada #Travel pic.twitter.com/TDdWiwtfpp";;;#VisitNovaScotia #ExploreCanada #Travel;"792035973311889408";https://twitter.com/Globe_Guide/status/792035973311889408
HfxAdventure;2016-10-28 09:58;0;1;"7 Remote Islands That REALLY Want You To Move There. #halifax #outdoors #NovaScotia #travel #CapeBreton ... http:// fb.me/3yedYql4K";;;#halifax #outdoors #NovaScotia #travel #CapeBreton;"791987519042691077";https://twitter.com/HfxAdventure/status/791987519042691077
CaraFullbrook;2016-10-28 07:08;3;8;"Have lightbox will travel . #prhjobhack in Halifax . Great way to spend a Friday pic.twitter.com/kWmIKjul2p";;;#prhjobhack;"791944842209210368";https://twitter.com/CaraFullbrook/status/791944842209210368
