username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PetRideHalifax;2014-10-30 18:47;0;0;"Downtown Halifax from the Woodside Ferry Terminal. @Halifax Harbour http:// instagram.com/p/uytLEdwk_k/";;@Halifax;;"527939985194770432";https://twitter.com/PetRideHalifax/status/527939985194770432
martindelaney;2014-10-30 18:28;1;4;"Beautiful evening at dusk over Halifax harbour #halifax #novascotia #dartmouth pic.twitter.com/sxFTy0SUpq";;;#halifax #novascotia #dartmouth;"527935207656411137";https://twitter.com/martindelaney/status/527935207656411137
SHPatterson;2014-10-30 18:23;0;0;"#morning , #nspower , #dartmouth , #halifax , #harbour http:// instagram.com/p/uyqZwxhify/";;;#morning #nspower #dartmouth #halifax #harbour;"527933890896207873";https://twitter.com/SHPatterson/status/527933890896207873
ValentinoKhan;2014-10-30 18:15;0;1;"Photo: GETTING GUILLOTINED IN NOVA SCOTIA BUT I DONT GIVE A FUCKKKKK (at Halifax Harbour ) http:// tmblr.co/ZCfdTv1UPqrOQ";;;;"527931928796995584";https://twitter.com/ValentinoKhan/status/527931928796995584
ValentinoKhan;2014-10-30 18:15;0;0;"GETTING GUILLOTINED IN NOVA SCOTIA BUT I DONT GIVE A FUCKKKKK @Halifax Harbour http:// instagram.com/p/uypgbzSx8R/";;@Halifax;;"527931920819429377";https://twitter.com/ValentinoKhan/status/527931920819429377
keelagencies;2014-10-30 16:35;0;0;"Built a porcelain #facade mockup wall today. Feedback? @Halifax Harbour http:// instagram.com/p/uyeDxbs8YZ/";;@Halifax;#facade;"527906746594230272";https://twitter.com/keelagencies/status/527906746594230272
carolynwheatley;2014-10-30 14:41;0;1;"Oh #Halifax , even when you're grey, you're pretty charming. #halibutsandhashtags @Halifax Harbour http:// instagram.com/p/uyQ8OXQncw/";;@Halifax;#Halifax #halibutsandhashtags;"527877900104900608";https://twitter.com/carolynwheatley/status/527877900104900608
larakillian;2014-10-30 12:34;1;2;"First try at glitching the Halifax harbour . @glitchwizard @collidehalifax pic.twitter.com/zEpVshysG7";;@glitchwizard @collidehalifax;;"527845969187332097";https://twitter.com/larakillian/status/527845969187332097
RedDoorRealty;2014-10-30 10:06;0;0;"New listing! 3-bedroom home with stunning view of #Halifax Harbour. Call @HalifaxMatt today! http:// fb.me/6qg1zcpxo";;@HalifaxMatt;#Halifax;"527808715647639552";https://twitter.com/RedDoorRealty/status/527808715647639552
SAPL;2014-10-29 19:42;0;0;"Empty seats @ScotiabankCtr @Moose game. think someone shld check #Halifax harbour: lots of ppl seem to have jumped ship";;@ScotiabankCtr @Moose;#Halifax;"527591352633405440";https://twitter.com/SAPL/status/527591352633405440
ColinLachance;2014-10-29 15:41;0;0;"+1 RT @monique_muise: Can we a camera on this high-speed canoe chase in Halifax harbour ? Seriously, I would watch that. For hours.";;@monique_muise;;"527530720093536256";https://twitter.com/ColinLachance/status/527530720093536256
moniquescotti;2014-10-29 15:30;4;1;"Can we a camera on this high-speed canoe chase in Halifax harbour ? Seriously, I would watch that. For hours.";;;;"527527787251257344";https://twitter.com/moniquescotti/status/527527787251257344
HuckFalifax;2014-10-29 12:45;0;0;"@BKELLOWAY lots of room at shipyard apparently, do you think the MV Dexter would make it out of #Halifax harbour without sinking? #nspoli";;@BKELLOWAY;#Halifax #nspoli;"527486390893023232";https://twitter.com/HuckFalifax/status/527486390893023232
Lookout_news;2014-10-28 22:01;0;1;"Anchor of historic naval ship found near Halifax harbour . http:// ow.ly/Du7se #history";;;#history;"527263930268536832";https://twitter.com/Lookout_news/status/527263930268536832
portofhalifax;2014-10-28 17:38;0;2;"Halifax Harbour chat with @portofhalifax George Malec on @CTV_Liveat5 pic.twitter.com/Hw8ajLeonh";;@portofhalifax @CTV_Liveat5;;"527197841576701955";https://twitter.com/portofhalifax/status/527197841576701955
portofhalifax;2014-10-28 17:34;0;0;"Coming up on @CTV_Liveat5 will be @portofhalifax VP George Malec to discuss Halifax Harbour .";;@CTV_Liveat5 @portofhalifax;;"527196613543227392";https://twitter.com/portofhalifax/status/527196613543227392
