text,Sentiment,Score
b'Downtown Halifax from the Woodside Ferry Terminal. @Halifax Harbour http:// instagram.com/p/uytLEdwk_k/',netural,0.0
b'Beautiful evening at dusk over Halifax harbour #halifax #novascotia #dartmouth pic.twitter.com/sxFTy0SUpq',positive,0.059027777777777776
"b'#morning , #nspower , #dartmouth , #halifax , #harbour http:// instagram.com/p/uyqZwxhify/'",netural,0.0
b'Photo: GETTING GUILLOTINED IN NOVA SCOTIA BUT I DONT GIVE A FUCKKKKK (at Halifax Harbour ) http:// tmblr.co/ZCfdTv1UPqrOQ',negative,-0.0046392676143748686
b'GETTING GUILLOTINED IN NOVA SCOTIA BUT I DONT GIVE A FUCKKKKK @Halifax Harbour http:// instagram.com/p/uypgbzSx8R/',negative,-0.005061019215681675
b'Built a porcelain #facade mockup wall today. Feedback? @Halifax Harbour http:// instagram.com/p/uyeDxbs8YZ/',negative,-0.0035511363636363635
"b""Oh #Halifax , even when you're grey, you're pretty charming. #halibutsandhashtags @Halifax Harbour http:// instagram.com/p/uyQ8OXQncw/""",positive,0.06328125
b'First try at glitching the Halifax harbour . @glitchwizard @collidehalifax pic.twitter.com/zEpVshysG7',netural,0.0
b'New listing! 3-bedroom home with stunning view of #Halifax Harbour. Call @HalifaxMatt today! http:// fb.me/6qg1zcpxo',positive,0.005990862631453917
b'Empty seats @ScotiabankCtr @Moose game. think someone shld check #Halifax harbour: lots of ppl seem to have jumped ship',positive,0.020525898784399033
"b'+1 RT @monique_muise: Can we a camera on this high-speed canoe chase in Halifax harbour ? Seriously, I would watch that. For hours.'",positive,0.022194602272727272
"b'Can we a camera on this high-speed canoe chase in Halifax harbour ? Seriously, I would watch that. For hours.'",positive,0.027126736111111112
"b'@BKELLOWAY lots of room at shipyard apparently, do you think the MV Dexter would make it out of #Halifax harbour without sinking? #nspoli'",positive,0.029600290326379983
b'Anchor of historic naval ship found near Halifax harbour . http:// ow.ly/Du7se #history',positive,0.00994873046875
b'Halifax Harbour chat with @portofhalifax George Malec on @CTV_Liveat5 pic.twitter.com/Hw8ajLeonh',negative,-0.0235595703125
b'Coming up on @CTV_Liveat5 will be @portofhalifax VP George Malec to discuss Halifax Harbour .',negative,-0.0001076658566792806
b'Anchor of Historic Canadian Naval Ship Found in Halifax\\xa0Harbour http:// panopticnews.com/gatewaygazette /?p=73646 \\u2026',positive,0.008522727272727272
b'Watching the sunrise over #Halifax Harbour is one of many amazing things you can see and do at the Halifax Seaport! pic.twitter.com/KFGUjM95H8',positive,0.0451609885150736
b'#georgesisland #halifax #halifaxharbour #atlanticisland #atlanticcoast #beautiful #lighthouse \\u2026 http:// instagram.com/p/urIohhPSF6/',positive,0.059027777777777776
b'Two fighter jets circling Halifax Harbour',negative,-0.006640625
b'Anchor of historic naval ship found near Halifax harbour http:// dlvr.it/7L6Rk1 #Lookout #Esquimalt #canadian #navy #RCN',positive,0.012460561899038462
b'You have to love the hardcore sailors that are still out in #Halifax Harbour despite 20 knot winds and temperatures in the single digits.',positive,0.058149857954545456
"b'York Redoubt Historic Site protected Halifax Harbour from 1790s to WWII. #Halifax , Nova Scotia, Canada. #history ... http:// fb.me/2nc1B8XNx'",negative,-0.01875
"b'Halifax Harbour , and a lens flare! #Halifax #sunrise #SLR #lightroom #nocrop #latergram http:// ift.tt/12LRwSR pic.twitter.com/mJOVEzZl1r'",positive,0.0012770432692307692
b'Anyone know what all the noise in #halifax harbour is? Fireworks?',positive,0.02093505859375
b'@shammens appear to be along the Halifax harbour boardwalk. No idea the occasion',positive,0.008928571428571428
b'#lol #funny @Halifax Harbour http:// instagram.com/p/unHwnHRuJd/',positive,0.015625
b'#Canadian #Bacon #Cookhouse in #Halifax #harbour was closed http:// ift.tt/12D70sj pic.twitter.com/1d0KjvdDdE',positive,0.007822672526041666
b'#Canadian #Bacon #Cookhouse in #Halifax #harbour was closed http:// instagram.com/p/umVOfBS9gQ/',positive,0.008800506591796875
b'@WoodardColin Plus the Halifax Harbour because of its depth means we can maximize cargo to and from Europe in and out of Maine',positive,0.024305555555555556
b'@BrilliantMaps this is our brilliant map of @McNabsIsland in Halifax Harbour @VisitNovaScotia pic.twitter.com/9gOnws3UGz',positive,0.075927734375
b'People keep telling me that our province is gonna be destroyed if ISIS decides to be a dick bc halifax harbour is deepest harbour and',negative,-0.007878875732421875
b'ATLANTIC ERIE leaving Halifax harbour this morning with a load... pic.twitter.com/c6pD2zA68A',negative,-0.00452423095703125
b'Just for my baby @Halifax Harbour http:// instagram.com/p/uk9K9RO4n5/',netural,0.0
"b'Halifax harbour , Theodore Tugboat. Benefit conference at end. pic.twitter.com/vU8IarH77O'",netural,0.0
b'Late late lunch. #tiramisu on a silver platter. @Halifax Harbour http:// instagram.com/p/ujSxlsHZDo/',negative,-0.0087890625
b'USA East Coast/Florida/ Halifax Harbour Marina http://www. seven-seas.ch/harbour/index. php?action=show&area=115&hid=1087 \\u2026',negative,-0.005320231119791667
b'#Halifax sharing a little of the city @Halifax Harbour http:// instagram.com/p/ui7UqVkfM5/',negative,-0.031494140625
