username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Lighthouse0107;2018-04-29 16:17;0;2;"It pushiest for me right now! Latch was perfect but I also love his short hair!! Well the gel is a problem. I hope Tessa dropped the last bottle into Halifax Harbour .....";;;;"990671494714937344";https://twitter.com/Lighthouse0107/status/990671494714937344
BigJMcC;2018-04-29 12:06;4;8;"The original #Halifax Harbour cleanup plan had a sewage plant in both the South and North ends of the peninsula. In final plan, the South end (mostly white neighbourhood) plant miraculously disappeared. #AfricanNS #HalifaxWhileBlack #Halifax #NS #Racism #SystemicRacism #Shelburne https:// twitter.com/iwaldron2165/s tatus/989681243372507136 …";;;#Halifax #AfricanNS #HalifaxWhileBlack #Halifax #NS #Racism #SystemicRacism #Shelburne;"990608142038953984";https://twitter.com/BigJMcC/status/990608142038953984
IrvingShipbuild;2018-04-29 09:50;9;27;"BOABARGE 37 in #Halifax harbour enroute to Halifax Shipyard. The barge will be used to launch each @RCN_MRC AOPS we are building pic.twitter.com/73FARZFkec";;@RCN_MRC;#Halifax;"990573981249015809";https://twitter.com/IrvingShipbuild/status/990573981249015809
OVRollerDerby;2018-04-28 19:45;0;0;"West Block took on the Halifax Harbour Grudges and gave it their all against the strong East… https://www. instagram.com/p/BiIaEvgHaPI/";;;;"990361398327721984";https://twitter.com/OVRollerDerby/status/990361398327721984
HalifaxAuthor;2018-04-28 13:05;1;2;"Once again, the Big Harbour is the place to be for action and adventure! #HalifaxAuthor #thebeaverton #theodoretugboat #Halifax #halifaxharbour";;;#HalifaxAuthor #thebeaverton #theodoretugboat #Halifax #halifaxharbour;"990260655532969985";https://twitter.com/HalifaxAuthor/status/990260655532969985
jewpoker;2018-04-28 03:44;0;1;"Waking near the Halifax harbour : "why don't you just go stowaway in one of those big ships" I think this was her way of saying see the world. She wasn't good at giving advice.";;;;"990119527122780160";https://twitter.com/jewpoker/status/990119527122780160
HfxComedyFest;2018-04-27 19:32;1;1;"Comedians are running loose in Downtown Halifax! . : @saucymiss ・・・ What a #view on the harbor @sweatsedo @huntercomedy . . . . . #buttpop #halifaxharbour #halifaxcomedyfest https:// ift.tt/2rbhoXd pic.twitter.com/ZpKLgCaHwd";;@saucymiss @sweatsedo @huntercomedy;#view #buttpop #halifaxharbour #halifaxcomedyfest;"989995786292355072";https://twitter.com/HfxComedyFest/status/989995786292355072
beakphoto;2018-04-27 16:49;0;1;"Boatnerding bonus for today: Crete I heading to Fairview Cove with the help of tugs Atlantic Fir and Atlantic Bear. #uasc #CreteI #shipping #halifax #halifaxharbour #halifaxport pic.twitter.com/RchdyPrD84";;;#uasc #CreteI #shipping #halifax #halifaxharbour #halifaxport;"989954807325757440";https://twitter.com/beakphoto/status/989954807325757440
SheriLBurns;2018-04-27 15:48;0;0;"Beautiful day on the Halifax Harbour pic.twitter.com/UYwalbRIGg";;;;"989939312698580992";https://twitter.com/SheriLBurns/status/989939312698580992
noelle_pharma;2018-04-27 13:13;0;0;"Seabridge @Halifax Harbour Waterfront https://www. instagram.com/p/BiFIYg-HxQP/";;@Halifax;;"989900277372346374";https://twitter.com/noelle_pharma/status/989900277372346374
