text,Sentiment,Score
b'Amazing #saltys #Halifax #halifaxharbour #Datenight #pharmacyconference https:// instagram.com/p/2E1bBGmvcP/',positive,0.044642857142857144
b'Got Fog? #HalifaxHarbour https:// flic.kr/p/s1zJH8',netural,0.0
"b'DYK! The last RCN ship lost in WWII was HMCS ESQUIMALT torpedoed outside Halifax harbour , on 16 Apr 45 by U191. #BOA15 @BOA_Place'",negative,-0.03610992431640625
"b""This #MothersDay treat mom to our annual Mother's Day Brunch in our ballroom overlooking the #Halifax Harbour! pic.twitter.com/1fUAGNt6Pn""",positive,0.032755533854166664
b'#HalifaxMagazine reader Anthony Kawalski shares this photo of HMCS Charlottetown\\u200b in Halifax Harbour \\u200b. pic.twitter.com/1aUpzzoQZJ',netural,0.0
"b'Charlottetown In Halifax"" #Halifax #City #HalifaxHarbour #RoyalCanadianNavy #HMCSCharlottetown \\u2026 https:// instagram.com/p/2CgSJUgzty/""'",netural,0.0
b'Good morning Halifax! #raining #walking #exploring @Halifax Harbour https:// instagram.com/p/2BUTjUKc1d/',positive,0.05631972551345825
b'Halifax Harbour #harbourview #goodmorning #halifax #yyz #yhz https:// instagram.com/p/2BE17mq200/',netural,0.0
b'from @alexjspeck View from #PointPleasantPark #novascotia #haligonia #halifax #harbour #spring #industry pic.twitter.com/XUgHhg8WIO',negative,-0.001171875
"b'@pztor1 @HfxSeaportMrkt Canada, Halifax Harbour a great deep natural Harbour and the friendliest port in all the world, find the Nomad, eat.'",positive,0.013397979736328124
b'Halifax harbour Canadian warships pic.twitter.com/VdQx7khk60',netural,0.0
b'Halifax harbour panorama pic.twitter.com/S2HynsS75z',netural,0.0
b'I wonder if she lives in Halifax Harbour ? pic.twitter.com/2eAtHx3bvb',positive,0.042578125
"b' Halifax Harbour is like swimming in diseases."" Classified knows what\'s up.""'",positive,0.013448079427083334
"b""Downtown Halifax! http:// en.wikipedia.org/wiki/Theodore_ Tugboat \\u2026 was a kid's show in the 90s. Now http:// en.wikipedia.org/wiki/Theodore_ Too \\u2026 plies Halifax harbour""",positive,0.0013020833333333333
"b'Out and about in Halifax with #FlatStanley ! #halifaxharbour , #ColdAprilDay , #photofun ,\\u2026 https:// instagram.com/p/16Fio8gMkN/'",netural,0.0
