text,Sentiment,Score
b'Sons of Anarchy will be invading Pier 21 for the Lone Star Rally! To find out more about the Celebrity Square:... http:// fb.me/1XNqiS5a4',negative,-0.005381266276041667
b'AGENDA THIAGO NASCIMENTO QUINTA (31): Duetto El\\xe9trico - Duetto Lounge&Bar - PIER 21 SEXTA (01): Anivers\\xe1rio de... http:// fb.me/MBc4umbm',netural,0.0
b'Product is going up! #lonestarrally2013 @Pier 21 http:// instagram.com/p/gGTc62lAhS/',positive,9.89530235528946e-10
"b""I'm at Pier 21 http:// 4sq.com/1gccKwZ""",netural,0.0
"b""I'm at AM PM Pier 21 http:// 4sq.com/19SfomN""",netural,0.0
"b'Going to Pier 21 , sweet'",positive,1.979060471057892e-09
b'Field trip !!! Pier 21',negative,-0.016927083333333332
b'\\u0e02\\u0e49\\u0e32\\u0e27\\u0e44\\u0e02\\u0e48\\u0e40\\u0e08\\u0e35\\u0e22\\u0e27 2\\u0e1f\\u0e2d\\u0e07\\u0e43\\u0e2a\\u0e48\\u0e40\\u0e2b\\u0e47\\u0e14 3\\u0e2d\\u0e22\\u0e48\\u0e32\\u0e07 \\u0e2d\\u0e34\\u0e48\\u0e21\\u0e04\\u0e48\\u0e2d\\u0e14 ;) (@Pier 21 w/ 3 others) http:// 4sq.com/18BOr2V',netural,0.0
"b""\\xdaltima semana de 'Gravidade' na sala XD do Cinemark do Pier 21 . Devia ficar em cartaz para sempre.""",netural,0.0
b'\\u0e2b\\u0e34\\u0e49\\u0e27\\u0e27 \\u0e1d\\u0e38\\u0e14\\u0e46\\u0e46\\u0e46 (@Pier 21 w/ 3 others) [pic]: http:// 4sq.com/1aob4OQ',netural,0.0
"b""I'm at Pier 21 w/ @tingmiinny http:// 4sq.com/199KLtv""",netural,0.0
b'\\u0e2b\\u0e34\\u0e27!! \\u0e01\\u0e34\\u0e19\\u0e44\\u0e23\\u0e14\\u0e35?? @Pier 21 http:// instagram.com/p/gFk9ivDVfC/',netural,0.0
"b'a.k.a. has a show on 10/31/2013 at 09:00 PM @Pier 21 Tavern in Medford, OR http://www. reverbnation.com/c./poni/238608 913 \\u2026 #concert'",positive,0.0009765625
"b""@amyw_87 No. Wasn't always announced on pier 21 ??? Where is the map?? In the web or last e-mail they sent??""",positive,0.0243408203125
b'@fckharrypottah minha amiga comprou meu ingresso e me falou o shopping mas eu esqueci ajskaheeo mas ou \\xe9 o pier 21 ou iguatemi e vc??',positive,0.009375
"b""@Liam_Duff1 Its challenging, but a great job. And I work at Pier 21 and Pub 101. Its my mission, we'll see what happens, the 21 thing.""",positive,0.012855410237203945
b'Mais uma rodada de #neg\\xf3cios prmovida pela ACDF Jovem com a empresa SPA e CIA PIER 21 ... http:// fb.me/3pDDahi3l',positive,0.0478515625
"b'Publiquei 7 fotos no Facebook no \\xe1lbum Morana- Nova loja no Pier 21 "" http:// fb.me/2qhwVfDRh""'",netural,0.0
b'Aquele pier 21 dia de domingo \\xe9 lotado',netural,0.0
"b""I'm at Pier 21 http:// 4sq.com/1g9Y5T7""",netural,0.0
"b""I'm at AM PM Pier 21 http:// 4sq.com/19Q4RIO""",netural,0.0
"b'Setebelos Convida. 21hs. no Bar do Ferreira, do Pier 21 . http:// instagram.com/p/gDz7gevLny/'",netural,0.0
"b'Jan discusses why history is much more than the study of dates, names, places and events--read his latest blog! http:// bit.ly/Hdm4lm'",positive,0.015634672982352122
b'Fun retro hair workshop happening @pier21 on Saturday! Learn how to recreate the victory rolls of the 1940s http://www. pier21.ca/discover-cultu re-retro-hair-workshop \\u2026 #Halifax',positive,0.030620574951171875
b'Hoje tem Setebelos convida com Paulinho Serra no Bar do Ferreira Pier 21 . Voc\\xea n\\xe3o pode perder ;) http:// fb.me/6kHyRKWo0',netural,0.0
