username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
synectics;2016-10-30 18:24;0;0;"A place to pause - Citadel Hill , Halifax, Nova Scotia, my new picture on #Flickr http:// flic.kr/p/NF8EX9 #Photogra … pic.twitter.com/JACQmSs0ZL";;;#Flickr #Photogra;"792839560342503424";https://twitter.com/synectics/status/792839560342503424
pmthorn;2016-10-30 17:35;0;0;"Up on Citadel Hill @Halifax, Nova Scotia https://www. instagram.com/p/BMM19r6BLew/";;@Halifax;;"792827273099350016";https://twitter.com/pmthorn/status/792827273099350016
PoundersTundra;2016-10-30 09:58;0;1;"Cheering on friends at the Everest Climb today! 80 laps up Citadel Hill is no joke!!!… https://www. instagram.com/p/BMMBomlguQM/";;;;"792712194697953281";https://twitter.com/PoundersTundra/status/792712194697953281
JennAbouTown;2016-10-30 08:07;0;0;"All set to climb Everest! Bring it on! @Citadel Hill https://www. instagram.com/p/BML0-DNgIdtT Zk4ICJ5haxiihrj7fHUx-X0V0k0/ …";;@Citadel;;"792684343864991745";https://twitter.com/JennAbouTown/status/792684343864991745
celestine3377;2016-10-29 05:19;0;0;"Citadel Hill of Amman pic.twitter.com/xZBUaSfJBJ";;;;"792279629566398464";https://twitter.com/celestine3377/status/792279629566398464
My_Waterfront;2016-10-28 18:57;1;2;"The noon boom. A traditional jolt, every day! #CitadelHill @DowntownHalifax https://www. localxpress.ca/local-news/hal ifaxs-noon-boom-a-startling-jolt-of-tradition-since-the-1800s-449154 …";;@DowntownHalifax;#CitadelHill;"792123245608767488";https://twitter.com/My_Waterfront/status/792123245608767488
VanessaBonnyman;2016-10-28 18:57;0;1;"Red chairs at Citadel hill #citadelhill https://www. instagram.com/p/BMH1u6gDeET/";;;#citadelhill;"792123074267213824";https://twitter.com/VanessaBonnyman/status/792123074267213824
evanwritescars;2016-10-28 13:29;0;2;"Did the Citadel Hill ghost tour last night. It was fun, and neat to see the place in the dark.";;;;"792040567802920960";https://twitter.com/evanwritescars/status/792040567802920960
CitadelHS;2016-10-28 12:54;3;14;"Without hyperbole our future is safe with these kids! Commons, Citadel Hill , our campus now clean!!! @CHS_Council_ pic.twitter.com/9ST79yeZyp";;@CHS_Council_;;"792031705838284800";https://twitter.com/CitadelHS/status/792031705838284800
ShawnaM0511;2016-10-27 22:13;0;0;"Apparently,you guys just need to do a tour of #thequietestconcert Be sure to include Citadel Hill ,or maybe The Commons in Hfx.;)";;;#thequietestconcert;"791810203519946752";https://twitter.com/ShawnaM0511/status/791810203519946752
Kaarinasaurus;2016-10-27 16:59;0;1;"Also the concentration of relief camps in the west? Though there was a camp at Citadel Hill where Bill Williamson stayed.";;;;"791730964221267970";https://twitter.com/Kaarinasaurus/status/791730964221267970
starfishanus;2016-10-27 15:16;1;1;"I remember going up to Citadel Hill when I was a kid to watch this. https:// twitter.com/canadianarmy/s tatus/791698802579308545 …";;;;"791705232707231744";https://twitter.com/starfishanus/status/791705232707231744
mrsmithhalifax;2016-10-26 23:16;0;1;"Special thanks to @MlleCameron212 for helping to chaperone our DHS Tourism 11 Citadel Hill ghost tour field trip tonight. #ThankU #URock";;@MlleCameron212;#ThankU #URock;"791463626901221376";https://twitter.com/mrsmithhalifax/status/791463626901221376
mrsmithhalifax;2016-10-26 23:11;3;4;"Photos from the @Dartmouth_High Tourism 11 ghost walk tour @Citadel Hill fortress Wednesday night! #Spooky #LotsOfFun #Tourism11 #FieldTrip pic.twitter.com/OOmoxtsJLs";;@Dartmouth_High @Citadel;#Spooky #LotsOfFun #Tourism11 #FieldTrip;"791462248246026240";https://twitter.com/mrsmithhalifax/status/791462248246026240
jobe3do;2016-10-26 23:04;0;0;"Shopping on the hill. #HiddenInTheOpen #citadel @Citadel Hill https://www. instagram.com/p/BMDId1HgTc7/";;@Citadel;#HiddenInTheOpen #citadel;"791460580066463744";https://twitter.com/jobe3do/status/791460580066463744
picnovascotia;2016-10-26 12:10;0;0;"Another from citadel hill this morning http:// fb.me/34v8ORk7E";;;;"791296029689647104";https://twitter.com/picnovascotia/status/791296029689647104
FitnessFX;2016-10-25 13:45;1;0;"Join our final @VirtualEverest training session! @FitnessFX #halifax #bootcamp tonight at 5:30p, Citadel Hill ... http:// fb.me/4BMLssm8Y";;@VirtualEverest @FitnessFX;#halifax #bootcamp;"790957445732454400";https://twitter.com/FitnessFX/status/790957445732454400
FitnessFX;2016-10-25 13:45;0;0;"Join our final @VirtualEverest training session! @FitnessFX #halifax #bootcamp tonight at 5:30p, Citadel Hill @yhznow #VirtualEverest pic.twitter.com/s2lduFBfqG";;@VirtualEverest @FitnessFX @yhznow;#halifax #bootcamp #VirtualEverest;"790957440854532096";https://twitter.com/FitnessFX/status/790957440854532096
SonnyWilsonHfx;2016-10-25 13:45;0;1;"Join our final @VirtualEverest training session! @FitnessFX #halifax #bootcamp tonight at 5:30p, Citadel Hill @yhznow #VirtualEverest pic.twitter.com/Qfb8WteuS3";;@VirtualEverest @FitnessFX @yhznow;#halifax #bootcamp #VirtualEverest;"790957437801074688";https://twitter.com/SonnyWilsonHfx/status/790957437801074688
NoorNahas1;2016-10-24 23:15;1;0;"First Coastal Defense targeting regime forces on Citadel Hill with technicals. Looks like they got new Cameras too https://www. youtube.com/watch?v=dDj1bG EVDVw … pic.twitter.com/SDyztv0tkr";;;;"790738617857638400";https://twitter.com/NoorNahas1/status/790738617857638400
peopleofhalifax;2016-10-24 20:42;0;1;"I found my thrills, on Citadel Hill ... #HrmHalloween pic.twitter.com/PKXShp0XSj";;;#HrmHalloween;"790700006734979072";https://twitter.com/peopleofhalifax/status/790700006734979072
NovaBrunswick;2016-10-24 16:04;0;0;"The Old Clock Tower on Citadel Hill , Halifax, Nova Scotia http:// pinterest.com/pin/2894970822 81410741/ …";;;;"790630029550030848";https://twitter.com/NovaBrunswick/status/790630029550030848
citadelxc;2016-10-24 15:14;0;1;"All those repeats of Citadel Hill just paid off!";;;;"790617474265997313";https://twitter.com/citadelxc/status/790617474265997313
whecavrsb;2016-10-24 11:53;1;3;"On Friday WHEC battled the elements as we toured Citadel Hill . Thanks to our knowledgeable tour guides for leading the way! #citadelhill pic.twitter.com/7MKN3DLeFj";;;#citadelhill;"790566959146491904";https://twitter.com/whecavrsb/status/790566959146491904
schols28;2016-10-23 14:08;3;6;"Great morning at Citadel Hill with @NAX_FemalePrep #tourhalifax #easternswing pic.twitter.com/MWBxuWnFI1";;@NAX_FemalePrep;#tourhalifax #easternswing;"790238456811233280";https://twitter.com/schols28/status/790238456811233280
