text,Sentiment,Score
b'One extremely foggy evening. #Clocktower at #CitadelHill .. Perfect for the #HauntedWalk #Halifax \\u2026 http:// instagram.com/p/uyHeo-m-Bz/',negative,-0.0171875
"b'Entrance at #CitadelHill , #soldier @Citadel Hill http:// instagram.com/p/uwbHlJAMlU/'",netural,0.0
b'Captured a #stilllife at #CitadelHill . Tea anyone?? @Citadel Hill http:// instagram.com/p/uwabWkAMkO/',netural,0.0
"b""Commercial: We're here at this fort in Nova Scotia [. . .] Me: You mean Citadel Hil?? Just say Citadel Hill .""",negative,-0.0025390625
"b""It's a Ghastly knight for a ghost walk #halifax #ghostwalk #boo @Citadel Hill http:// instagram.com/p/uwVkoTqAyh/""",negative,-0.03480113636363636
b'@SurfSuzi the fort is called citadel hill .it is directly across from my office.it was built by the British because of its location .',positive,0.014044224936515092
b'@kimberleyseldon @bizofdesign are joing us for a special #design event at #CitadelHill #Halifax on November 4 #RSVP pic.twitter.com/fF4OUTCDBC',positive,0.003995028409090909
"b""@SurfSuzi ceremonial, they guarded citadel hill in late 1700's as it was the main base for the British in North America.There are""",positive,0.006575150923295455
"b'Drizzle we can handle, especially coupled with 17degrees! #HIIT #Bootcamp is on tonight, #Halifax ! Citadel Hill , 6pm. $15 drop-in.'",positive,0.00390625
b'@jill_chappell i took this yesterday. I was talking a pic of the sun coming up behind Citadel Hill . pic.twitter.com/hX5NJlIq3V',positive,0.004689019825622154
b'Hidden today at the CBC Radio Building by Citadel Hill in Halifax. #building #fence #rust #origami \\u2026 http:// instagram.com/p/uuCX1vBi4M/',negative,-0.0011160714285714285
b'@FordCanada A great Halloween event is the Ghost Tour at Citadel Hill in Halifax. Lots of fun! #FordChatCA',positive,0.014322916666666666
"b'#HIIT #Bootcamp is ON this week! Wed 6pm, Citadel Hill . Special $15 drop-in, or use your membership/punch card. #Halifax'",positive,0.010904947916666666
b'Join Dal After Dark this Thursday for a Halifax Ghost Walk on Citadel Hill ! http:// ow.ly/DsWe5',negative,-0.03444602272727273
b'A face in the clouds over Citadel hill this morning. pic.twitter.com/qTeQJoUVi0',negative,-2.0345052083333332e-05
"b'By @amfraser  #ss @chevrolet #montecarlo - #CitadelHill #Halifax #NovaScotia "" pic.twitter.com/Msz4EDrxK5""'",netural,0.0
b'#ss @chevrolet #montecarlo - #CitadelHill #Halifax #NovaScotia @Citadel Hill http:// instagram.com/p/uqIDOBsRRG/',netural,0.0
b'I live downtown. Random Citadel Hill fireworks and Nova Centre explosions have been the norm. Unexpected fireworks have no effect on me.',positive,0.003155048076923077
b'Pretty surreal week to tour such a historic place #citadel @Citadel Hill http:// instagram.com/p/uoEUVNAdul/',negative,-0.0056806044145063924
"b""Team Booty Pops just finished practice run #3 on Citadel Hill for the @Lucky7Relay in 1 wk. 1 more Wed night & we're good to go!""",positive,0.047901366862268854
"b""Missed the gym so I'm out for a walk. First stop, citadel hill !! http:// instagram.com/p/ul_rtwhbVO/""",negative,-0.023654513888888888
b'Citadel hill with bae @chelseaagittens pic.twitter.com/WIiFvQ12u8',netural,0.0
b'@Zak_Bagans should check out Resto Urban Dining or Citadel Hill for investigating...',positive,0.031339578330516815
b'Police day this incident and the reported sighting earlier yesterday near Citadel Hill are not related. #cbcns',negative,-0.0003107244318181818
b'Uploaded the last 12 #photos in my #CitadelHill in #Halifax Series today: http:// kbrucelane.blogspot.ca / pic.twitter.com/4gka6UpTU4',negative,-0.0071044921875
b'Flag at half staff on Citadel Hill this morning #OttawaShooting pic.twitter.com/9yMK4KEzc1',negative,-0.010986328125
"b'From 5 am wake ups..Halifax harbour Am show, #Peggyscove aft show, #CitadelHill evening show..To the bar @chris_m_twn pic.twitter.com/3GXtIuKSZb'",positive,0.01416015625
"b'@RachelSchoutsen @weathernetwork It\'s spelled  Citadel"" Hill . (Usually don\'t care about spelling, but that hill is kind of a big deal here.)""'",negative,-0.0118408203125
b'The lockdown at Citadel Hill has been lifted #Halifax',negative,-0.01257781982421875
b'RT @TheTorontoSun Halifax police arrest man http:// systerpret.rightnow.io #halifax #nspoli #metrocentre #citadelhill #coyotebounty #ns #metrocentre',negative,-0.001953125
"b""@liviasasjunius .... sweats stares out my window and looks at both citadel hill and the police station I'M GLAD HE'S GONE....""",negative,-0.024147727272727272
"b""so they didn't fire the Citadel Hill cannon @noon for the first time...ever? feels eery. @HalifaxNoonGun your tweet doesn't count! #Halifax""",positive,0.012420654296875
b'RT @svankampen : Flag at half-mast on Citadel Hill today: pic.twitter.com/NREF3h07RY #cbcns',positive,0.007595486111111111
b'Flag at half mast on Citadel Hill today pic.twitter.com/CLzzlsS25f',negative,-0.003627232142857143
b'RT @Mayya_Global: Doors & windows are shut at the entrance to Citadel Hill #Halifax pic.twitter.com/WIPuPhBnFi',netural,0.0
b'Doors & windows are shut at the entrance to Citadel Hill #Halifax pic.twitter.com/7ZhN9wPA43',netural,0.0
