username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mcquarrieripley;2017-04-29 20:54;0;0;"Citadel Sunsets @Citadel Hill https://www. instagram.com/p/BTfQnTnjDPgT dwH4_nTS450qP9TSKw84k9fm0o0/ …";;@Citadel;;"858469547111829505";https://twitter.com/mcquarrieripley/status/858469547111829505
SultanTarnose;2017-04-29 20:40;0;0;"The littlest soldier at #citadelhill for a super fun birthday party #soldier #livingwithroyalty https://www. instagram.com/p/BTfO-nMF2cO/";;;#citadelhill #soldier #livingwithroyalty;"858465953687928832";https://twitter.com/SultanTarnose/status/858465953687928832
Wheels_Ninja;2017-04-28 22:11;1;1;"Still haven't figured out a route, but I'm thinking of starting at Mic Mac Mall and taking the ferry, ending on top of Citadel Hill .";;;;"858126583705587714";https://twitter.com/Wheels_Ninja/status/858126583705587714
Michaelhopper;2017-04-28 10:51;0;0;"Fog horns with the kid @Citadel Hill https://www. instagram.com/p/BTbmORhl_mr/";;@Citadel;;"857955524150784000";https://twitter.com/Michaelhopper/status/857955524150784000
OnAirMelody;2017-04-26 06:50;0;1;"OR we could just go roll around citadel hill after the rain today. Drinks could be included. Money better spent ;) https:// twitter.com/C100FM/status/ 857163945806897152 …";;;;"857170066504392705";https://twitter.com/OnAirMelody/status/857170066504392705
pryan2112;2017-04-25 09:14;1;32;"Just heard Eye Of The Tiger and suddenly I want to run to the top of Citadel Hill and pitch many cannon balls, over hand, across the Harbour";;;;"856843746964537344";https://twitter.com/pryan2112/status/856843746964537344
gobrownn;2017-04-24 23:22;0;0;"#halifax #clocktower #citadelhill https://www. instagram.com/p/BTSpnkaFPWi/";;;#halifax #clocktower #citadelhill;"856694949487816704";https://twitter.com/gobrownn/status/856694949487816704
shawncrosbys;2017-04-24 20:15;0;0;"Lovely day for a walk @Citadel Hill https://www. instagram.com/p/BTSUL4PF7rL/";;@Citadel;;"856647815170281472";https://twitter.com/shawncrosbys/status/856647815170281472
Kuztoff;2017-04-24 18:19;0;1;"Took a walk up da hill. #citadelhill #halifaxclocktower #halifaxharbour #halifaxcitadel #halifax … https://www. instagram.com/p/BTSG3YrgqJZ/";;;#citadelhill #halifaxclocktower #halifaxharbour #halifaxcitadel #halifax;"856618524340621312";https://twitter.com/Kuztoff/status/856618524340621312
Kuztoff;2017-04-24 18:14;0;0;"Took a walk up da hill. #citadelhill #halifaxclocktower #halifaxharbour #halifaxcitadel #halifax … https://www. instagram.com/p/BTSGTFug1or/";;;#citadelhill #halifaxclocktower #halifaxharbour #halifaxcitadel #halifax;"856617286546927616";https://twitter.com/Kuztoff/status/856617286546927616
soupbonenow;2017-04-24 12:02;1;0;"#CapitalCity of #NovaScotia #Halifax @Night #CitadelHill #TownClock Come to #NovaScotia Followers ALL ARE WELCOME!! Djw pic.twitter.com/1xZk6K3flx";;@Night;#CapitalCity #NovaScotia #Halifax #CitadelHill #TownClock #NovaScotia;"856523732986232832";https://twitter.com/soupbonenow/status/856523732986232832
Where_Halifax;2017-04-24 10:55;0;5;"View of The Old Town Clock from Citadel Hill ; great to have sunny skies and warmer weather, finally! #halifax #spring #oldtownclock pic.twitter.com/Et007kCCAW";;;#halifax #spring #oldtownclock;"856506895473020928";https://twitter.com/Where_Halifax/status/856506895473020928
CGruenenfelder;2017-04-23 22:50;5;11;"#GoogleMovie 3 #Jordan : #Amman - #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel 20170330cMtNebo pic.twitter.com/8K7KmdUZiB";;;#GoogleMovie #Jordan #Amman #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel;"856324551772217344";https://twitter.com/CGruenenfelder/status/856324551772217344
CGruenenfelder;2017-04-23 22:47;5;12;"#GoogleMovie 2 #Jordan : #Amman - #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel 20170330bMtNebo pic.twitter.com/ucOvZELINA";;;#GoogleMovie #Jordan #Amman #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel;"856323637569241089";https://twitter.com/CGruenenfelder/status/856323637569241089
CGruenenfelder;2017-04-23 22:43;5;10;"#GoogleMovie 1 #Jordan : #Amman - #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel 20170330aMtNebo pic.twitter.com/XqElh4GHZ6";;;#GoogleMovie #Jordan #Amman #AinGhazal #MounttNebo #ArchaeologicalSite #RomaTheatre #JordanMuseum #CitadelHill #travel;"856322673609129984";https://twitter.com/CGruenenfelder/status/856322673609129984
