username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
njdempsey99;2018-04-29 17:39;1;2;"Peggys Cove https://www. nancydempseyphotographer.com/fullscreen-sto re-page/comp-j77lcehs/3e0c3901-d082-4dcf-b446-661e5cc46d89/6/%3Fi%3D6%26p%3Dv2o0n%26s%3Dstyle-jgl9twrh%26rl%3D1 …";;;;"990692156116553728";https://twitter.com/njdempsey99/status/990692156116553728
robesyk;2018-04-29 08:56;0;4;"Peggys Cove , Nova Scotia! Beautiful pic.twitter.com/3NbQVPDlfC";;;;"990560429167513600";https://twitter.com/robesyk/status/990560429167513600
kenmojr;2018-04-28 14:53;1;2;"Peggys Cove in B&W - one of my digital illustrations. #Halifax #HRM #NovaScotia #Maritime #PeggysCove #Digital #digitalart #Photoshop #Photoshopped #kenmojr #Canada #canada150 #Canadian #clouds #water #art #illustration #illustrations #Image #FineArtAmerica pic.twitter.com/yZcyRrG9Wi";;;#Halifax #HRM #NovaScotia #Maritime #PeggysCove #Digital #digitalart #Photoshop #Photoshopped #kenmojr #Canada #canada150 #Canadian #clouds #water #art #illustration #illustrations #Image #FineArtAmerica;"990287852738174977";https://twitter.com/kenmojr/status/990287852738174977
JokeTravel;2018-04-28 13:26;0;1;"Baskets for lobster fishing in Peggy's Cove. #peggyscove #novascotia #lobsters #catchoftheday #harbour #harbourfront #sky_brilliance #boats #eastcoastlifestyle #nature_good #nature_lovers #sea_sky_nature #seashore #joketravel #travelholi … https:// ift.tt/2HzVtmI pic.twitter.com/YaGwHZBLxD";;;#peggyscove #novascotia #lobsters #catchoftheday #harbour #harbourfront #sky_brilliance #boats #eastcoastlifestyle #nature_good #nature_lovers #sea_sky_nature #seashore #joketravel #travelholi;"990266108623163394";https://twitter.com/JokeTravel/status/990266108623163394
theboutiqueadv;2018-04-28 02:48;0;0;"RT @SoloExplore : Not Just for #Tourists !! This Local visits #PeggysCove a few times a year and I am Loving the new… https:// twitter.com/i/web/status/9 84882677005332481 … http:// goo.gl/CtSWeV pic.twitter.com/ltJhmoHxX1";;@SoloExplore;#Tourists #PeggysCove;"990105338698452992";https://twitter.com/theboutiqueadv/status/990105338698452992
kenmojr;2018-04-27 23:03;1;4;"Three Shacks by the Sea - Peggy's Cove NS Canada #HRM #Halifax #NovaScotia #Canada #PeggysCove #kenmojr #photography #landscapephotography #digitalart #DigitalArtist #Canada150 #Canadian pic.twitter.com/eWdW9BIF7I";;;#HRM #Halifax #NovaScotia #Canada #PeggysCove #kenmojr #photography #landscapephotography #digitalart #DigitalArtist #Canada150 #Canadian;"990048888131334145";https://twitter.com/kenmojr/status/990048888131334145
evilpez4;2018-04-27 22:55;0;14;"Tourists, when they're not at Peggys Cove . pic.twitter.com/WcLbj2RJYq";;;;"990046912316432386";https://twitter.com/evilpez4/status/990046912316432386
HRMtrafficker;2018-04-27 22:20;3;12;"Peggy's sister Polly is so much cooler with way better views and no crowds. #PeggysCove #Halifax https:// hrmtraffic.com/travel/2018/4/ 27/pollys-cove … pic.twitter.com/yvIcsKLif7";;;#PeggysCove #Halifax;"990037904343928832";https://twitter.com/HRMtrafficker/status/990037904343928832
kef357;2018-04-27 20:41;0;0;"Video 2/2 #PeggysCove #NovaScotia #Maritimes #Canada #April2018 pic.twitter.com/n836MU5bAS";;;#PeggysCove #NovaScotia #Maritimes #Canada #April2018;"990013107459280902";https://twitter.com/kef357/status/990013107459280902
kef357;2018-04-27 20:40;0;0;"Video 1/2 #PeggysCove #NovaScotia #Maritimes #Canada #April2018 pic.twitter.com/mQKTYFkIl9";;;#PeggysCove #NovaScotia #Maritimes #Canada #April2018;"990012919243997185";https://twitter.com/kef357/status/990012919243997185
