username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
JODYMITIC;2015-10-30 12:11;2;6;"The statue behind me is dedicated to the troops who fought in the Boer War. Halifax public gardens … https:// instagram.com/p/9d1_Xss5-c/";;;;"660111876144107520";https://twitter.com/JODYMITIC/status/660111876144107520
dnphoto_ca;2015-10-28 18:16;0;0;"Heather + Chad | Halifax Public Gardens Engagement Session http:// fb.me/4V1nm5Co7";;;;"659478780415778816";https://twitter.com/dnphoto_ca/status/659478780415778816
mgravel;2015-10-28 11:04;0;2;"Halifax Public Gardens , a few days ago. #yhz pic.twitter.com/JXHdcybHE4";;;#yhz;"659370201927045121";https://twitter.com/mgravel/status/659370201927045121
LordVanderbilt;2015-10-24 18:31;0;0;"If you don't find your way, do it yourself #lamexicanamaschida @Halifax Public Gardens https:// instagram.com/p/9PEuD_usn1/";;@Halifax;#lamexicanamaschida;"658033205514248192";https://twitter.com/LordVanderbilt/status/658033205514248192
martindelaney;2015-10-24 17:12;0;3;"Halifax Public Gardens on a beautiful Saturday #publicgardens #halifax #fall pic.twitter.com/BrONu39ZQP";;;#publicgardens #halifax #fall;"658013254510379009";https://twitter.com/martindelaney/status/658013254510379009
martinhellmich;2015-10-24 12:10;0;0;"Hello little red dragon #Aristarchus @Halifax Public Gardens https:// instagram.com/p/9OY7-LlEY_/";;@Halifax;#Aristarchus;"657937271048400896";https://twitter.com/martinhellmich/status/657937271048400896
martindelaney;2015-10-24 10:17;0;0;"Halifax Public Gardens #serenity #fall #halifax pic.twitter.com/Gmhd0eSsLj";;;#serenity #fall #halifax;"657908859907014656";https://twitter.com/martindelaney/status/657908859907014656
Aia_wk;2015-10-23 15:08;0;0;"Sitting and wondering #nofilter #fall2015 #favouriteseason #calm @Halifax Public Gardens https:// instagram.com/p/9MIqfbECgE/";;@Halifax;#nofilter #fall2015 #favouriteseason #calm;"657619664751730688";https://twitter.com/Aia_wk/status/657619664751730688
natjarvis;2015-10-23 12:28;0;1;"View from the top (of a tree stump). @Halifax Public Gardens https:// instagram.com/p/9L2TTno0wFwC ig3J20aTNzk22GVId-U9NhNl40/ …";;@Halifax;;"657579285885140992";https://twitter.com/natjarvis/status/657579285885140992
jobe3do;2015-10-22 21:51;0;0;"Photo: An origami butterfly left in an arrangement at the Halifax Public Gardens . #butterfly #hfx ... http:// tmblr.co/ZMriZq1wg_Kw0";;;#butterfly #hfx;"657358674235695104";https://twitter.com/jobe3do/status/657358674235695104
