text,Sentiment,Score
"b""I'm at Halifax Public Gardens (Halifax, NS) w/ 2 others http:// 4sq.com/16Mw0ZA""",netural,0.0
b'The #Photographer is going 2 b on the #halifax public-gardens taking free photos Saturday Nov the 2nd between 2-4pm. Nodwik Out!',negative,-0.0014197605087712293
b'I took this photo in the Halifax Public Gardens a few years ago. One of my favourite Halifax places to\\u2026 http:// instagram.com/p/f95Y7Xpshg/',positive,0.013022581658897062
b'@ItalianNotes Thanks for sharing the Halifax Public Gardens post! Have a great weekend!!',positive,0.0390625
b'A Stroll Through the Halifax Public Gardens http:// bit.ly/18PbBWN via @GoneWithFamily',negative,-0.009068080357142858
b'Coughing up a hairball??? Great Blue Heron. Halifax Public Gardens http:// flic.kr/p/gVkQKe',netural,0.0
"b'Preening Great Blue Heron at the Halifax Public Gardens , Nova Scotia. http:// flic.kr/p/gVkFYW'",negative,-0.017045454545454544
"b'Busy bees at the Halifax Public Gardens , Nova Scotia http:// flic.kr/p/gVkHbL'",positive,0.018229166666666668
b'They are awesome at gibberish @Halifax Public Gardens http:// instagram.com/p/f0e2Hyk-XO/',positive,0.03571428571428571
b'Just posted a photo @Halifax Public Gardens http:// instagram.com/p/f0esm0k-W5/',negative,-8.719308035714285e-06
b'Bright and beautiful Dahlias from the Halifax Public Gardens last week.. #happywednesday pic.twitter.com/uy2AP98yc5',positive,0.06190185546875
b'Halifax Public Gardens . http:// instagram.com/p/fwX_bPvA4v/',netural,0.0
b'Gorgeous dahlias are still blooming strong in the Halifax Public Gardens #amazing pic.twitter.com/hxkyn4N1br',positive,0.0129150390625
b'Public Gardens @Halifax Public Gardens http:// instagram.com/p/fuvhZPG9To/',netural,0.0
"b""A dahlia from last year's crop at the Halifax Public Gardens . I heard the other day that they are\\u2026 http:// instagram.com/p/ftIGC7psvD/""",negative,-0.009077592329545454
b'ICYMI: A Great Blue Heron has taken up residency in #halifax Public Gardens. Still hanging out by the pond as of this afternoon @haligonia',negative,-0.011988503658654639
"b'I call this one Tyler and the Duck"" @Halifax Public Gardens http:// instagram.com/p/fsSo5vr8FW/""'",positive,0.025367781170643866
"b""It's unusual to find this bench empty. It is one of the favorites at the Halifax Public Gardens . http:// instagram.com/p/fr74acpsqd/""",positive,0.00135498046875
"b""I've got the eyes of the tiger! #shoes #flats #tiger #roar #fashion #fall #funky @Halifax Public Gardens http:// instagram.com/p/fqUof3g6v-/""",negative,-0.014066378707260204
b'Its #StillSummer in my #Halifax #HalifaxPublicGardens http:// instagram.com/p/fqNu-3hG6s/',netural,0.0
b'Fountain Halifax Public Gardens pic.twitter.com/F0478R7Z7U',negative,-0.003125
b'A Stroll Through the Halifax Public Gardens - Gone with the Family http:// twy.la/H3NXfn',negative,-0.044921875
b'\\u0627\\u062d\\u0628 \\u0627\\u0644\\u0648\\u0627\\u0646 \\u0627\\u0644\\u062e\\u0631\\u064a\\u0641 \\ue447\\ue119\\ue118\\ue022\\ue023\\ue022\\ue023 @Halifax Public Gardens http:// instagram.com/p/fnJYVSrE9M/',netural,0.0
b'im in love with this garden \\ue022\\ue022\\ue022\\ue023 @Halifax Public Gardens http:// instagram.com/p/fnI7GtrE8n/',positive,0.0546875
b'\\ue119\\ue447\\ue118\\ue04b @Halifax Public Gardens http:// instagram.com/p/fnIcL-rE8K/',netural,0.0
b'\\ue119\\ue447\\ue022 @Halifax Public Gardens http:// instagram.com/p/fnH5BhrE7X/',netural,0.0
b'so lovely! RT @GoneWithFamily : A Stroll Through the Halifax Public Gardens http:// bit.ly/18PbBWN #novascotia #explorecanada',positive,0.016956676136363636
b'Lovely! RT @GoneWithFamily : A Stroll Through the Halifax Public Gardens http:// bit.ly/18PbBWN #novascotia #explorecanada',positive,0.016956676136363636
b'A Stroll Through the Halifax Public Gardens http:// bit.ly/18PbBWN #novascotia #explorecanada',negative,-0.0079345703125
b'One of three @freshtables #dailypic . These colourful plants were taken in the Halifax Public Gardens - http:// flic.kr/p/gEENBu',positive,0.003125762846633506
"b'At the Halifax Public Gardens , one of the last remaining Victorian Gardens in Canada. #fb pic.twitter.com/uKzYjQIuhV'",negative,-0.0133544921875
b'#haligram @Halifax Public Gardens http:// instagram.com/p/fdSz2USt9I/',netural,0.0
b'#haligram @Halifax Public Gardens http:// instagram.com/p/fdR9V5yt8A/',netural,0.0
b'Fall fun @Halifax Public Gardens http:// instagram.com/p/fdRp8yyt7c/',negative,-0.0008414132254464286
b'Just posted a photo @Halifax Public Gardens http:// instagram.com/p/fdRZyByt6-/',negative,-8.719308035714285e-06
b'Sunday coffee at the Halifax Public Gardens . @Halifax Public Gardens http:// instagram.com/p/faikyBpl38/',netural,0.0
b'Hanging out in the public gardens #Halifax #novascotia #holiday #eastcoat #halifaxpublicgardens @\\u2026 http:// instagram.com/p/faFi6PwGJF/',negative,-0.00037841796875
b'RT: via @GoneWithFamily A Stroll Through the Halifax Public Gardens http:// bit.ly/18PbBWN',negative,-0.0079345703125
b'Autumn afternoon in the Halifax Public Gardens http:// instagram.com/p/fZC_EAvrsY/',netural,0.0
"b""This is Peggy's Cove? @Halifax Public Gardens http:// instagram.com/p/fYNYBInXlB/""",netural,0.0
b'These are bees being bees on a Pooh dahlia. @Halifax Public Gardens http:// instagram.com/p/fYMWcxnXjC/',netural,0.0
