username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
conrad_art;2015-04-27 09:22;0;0;"Front Gate to #Halifax Public Gardens https:// flic.kr/p/s3mH8w";;;#Halifax;"592665211435413504";https://twitter.com/conrad_art/status/592665211435413504
levelneville;2015-04-25 07:56;1;2;"Soon, the Halifax Public Gardens will be open!! pic.twitter.com/Eh3Lz7mvp4";;;;"591918782563676161";https://twitter.com/levelneville/status/591918782563676161
HfxPublicGarden;2015-04-21 09:57;2;2;"Here are some lovely Zinnia seedlings being transplanted for the Halifax Public Gardens . http:// fb.me/4cHMnEiY5";;;;"590499503528083456";https://twitter.com/HfxPublicGarden/status/590499503528083456
PlayGroundology;2015-04-18 11:17;0;1;"look for us around noon 2day selling #girlguide cookies at the main gate of #halifax public gardens #sunnyday";;;#girlguide #halifax #sunnyday;"589432595114500096";https://twitter.com/PlayGroundology/status/589432595114500096
thepictureapp;2015-04-05 06:10;0;0;"Floral display - Picture of Halifax Public Gardens , Halifax--They should've used http:// thepictureapp.com :)";;;;"584644248961548288";https://twitter.com/thepictureapp/status/584644248961548288
JeongDiana;2015-03-29 12:30;0;0;"#dahlias at the #Halifax Public Gardens. When in Nova Scotia, this is a nice place to visit pic.twitter.com/XwOBhoATb3";;;#dahlias #Halifax;"582203113152651264";https://twitter.com/JeongDiana/status/582203113152651264
hfxpublib;2015-03-26 10:45;0;0;"Notice: The Halifax Public Gardens programming series (originally for Mar/Apr) has been rescheduled for June 9, 16, and 23, 7PM, at Central.";;;;"581089589298929664";https://twitter.com/hfxpublib/status/581089589298929664
Verena_Joy;2015-03-25 06:54;0;0;"New artwork for sale! - "Titanic Pond in the Halifax Public Gardens " - http:// fineartamerica.com/featured/titan ic-pond-in-the-halifax-public-gardens-verena-matthew.html … @fineartamerica pic.twitter.com/vOlEsyLwKE";;@fineartamerica;;"580669052999184384";https://twitter.com/Verena_Joy/status/580669052999184384
HfxPublicGarden;2015-03-24 08:03;1;1;"One of the many hidden treasures in the Halifax Public Gardens . What will the gardeners come up with this year? http:// fb.me/782mFX7BR";;;;"580324126700756992";https://twitter.com/HfxPublicGarden/status/580324126700756992
gardenvisions;2015-03-23 17:10;0;0;"Halifax Public Gardens http:// dlvr.it/94y0RZ #FlowerBeds #GardenAccents #Landscaping";;;#FlowerBeds #GardenAccents #Landscaping;"580099340426833920";https://twitter.com/gardenvisions/status/580099340426833920
1888JunkBin;2015-03-22 09:10;0;1;"Not ready to talk a wander yet? check out pics from the Halifax Public Gardens to motivate! http:// ow.ly/KB6ww #halifax #publicgardens";;;#halifax #publicgardens;"579616056127463425";https://twitter.com/1888JunkBin/status/579616056127463425
ShanaKloock922;2015-03-15 19:19;0;0;". First-ever free movie night at Halifax Public Gardens to feature Ghostbusters via";;;;"577232602991570944";https://twitter.com/ShanaKloock922/status/577232602991570944
Peady;2015-03-12 14:50;0;0;"@KathyBuckworth Halifax Public Gardens !! Absolutely. @HfxPublicGarden";;@KathyBuckworth @HfxPublicGarden;;"576077906079780865";https://twitter.com/Peady/status/576077906079780865
runnovascotia;2015-03-08 12:45;1;3;"@KarenDaMonkey @BNMarathon Also heard that the 1k loop around Halifax Public Gardens is mostly clear.";;@KarenDaMonkey @BNMarathon;;"574596699257192448";https://twitter.com/runnovascotia/status/574596699257192448
vivienshotwell;2015-03-02 12:48;0;0;"Halifax Public Gardens in the soft snow this morning. https:// instagram.com/p/zu4rIrLwir/";;;;"572438319411417089";https://twitter.com/vivienshotwell/status/572438319411417089
evanmcmaster;2015-02-17 22:27;0;0;"Halifax Public Gardens Wedding http://www. evanmcmaster.com/new-blog/2015/ 2/17/halifax-public-gardens-wedding …";;;;"567873087691194368";https://twitter.com/evanmcmaster/status/567873087691194368
just3moon;2015-02-17 17:21;0;0;"Halifax @Halifax Public Gardens http:// instagram.com/p/zN5ia9Py6n/";;@Halifax;;"567795881819512833";https://twitter.com/just3moon/status/567795881819512833
haligrams;2015-02-14 13:08;0;0;"Happy Love Day, lovers! xo @Halifax Public Gardens http:// instagram.com/p/zFuNF8vQVc/";;@Halifax;;"566645059958095872";https://twitter.com/haligrams/status/566645059958095872
VisitNovaScotia;2015-02-12 15:05;11;15;"Stunning view from the top! RT @flitelab : #TBT Halifax Public Gardens Aug 2014. @HfxPublicGarden #VisitNovaScotia pic.twitter.com/MSvhSZfjf2";;@flitelab @HfxPublicGarden;#TBT #VisitNovaScotia;"565949772365049856";https://twitter.com/VisitNovaScotia/status/565949772365049856
flitelab;2015-02-12 07:23;11;11;"#TBT Halifax Public Gardens Aug 2014. @HfxPublicGarden @VisitNovaScotia @Stuff2doHalifax #aerial #drone #endwinter pic.twitter.com/stNZ73kjI1";;@HfxPublicGarden @VisitNovaScotia @Stuff2doHalifax;#TBT #aerial #drone #endwinter;"565833646255267840";https://twitter.com/flitelab/status/565833646255267840
ScottBurgwin;2015-02-12 00:09;0;0;"@DougSaunders Welcome to Halifax. BTW that is the " Halifax Public Gardens " There is a cool statue of Robie Burns across the street.";;@DougSaunders;;"565724458800123906";https://twitter.com/ScottBurgwin/status/565724458800123906
SylliboyJohnR;2015-02-08 11:40;0;0;"Does anyone know why the Halifax Public Gardens is closed during winter? @DowntownHalifax @TwitCoast @MikeSavageHFX #halifax";;@DowntownHalifax @TwitCoast @MikeSavageHFX;#halifax;"564448817458970624";https://twitter.com/SylliboyJohnR/status/564448817458970624
srcorrespondent;2015-02-03 16:47;1;0;"Halifax Public Gardens bright with Victorian flair https://www. markethub.io/e/bxl #Gardening Sonia Day reports pic.twitter.com/mb5xP8uQO5";;;#Gardening;"562714004142182402";https://twitter.com/srcorrespondent/status/562714004142182402
so_bell;2015-02-02 17:39;2;7;"Entry into either the Halifax Public Gardens or a gothic novel #hfx pic.twitter.com/igVW3bCGdE";;;#hfx;"562364805848514560";https://twitter.com/so_bell/status/562364805848514560
hussmanr;2015-02-01 10:07;0;0;"Frozen pond #latergram #halifax #winter @Halifax Public Gardens http:// instagram.com/p/yj7M9aI5Al/";;@Halifax;#latergram #halifax #winter;"561888568319430656";https://twitter.com/hussmanr/status/561888568319430656
groovin1974;2015-01-31 21:53;0;1;"Gateway to the Gardens. #PublicGardens #Public_Gardens #halifaxpublicgardens ##Halifax #Nova_Scotia … http:// instagram.com/p/yinMjoQRmT/";;;#PublicGardens #Public_Gardens #halifaxpublicgardens # #Halifax #Nova_Scotia;"561703836679938049";https://twitter.com/groovin1974/status/561703836679938049
HfxPublicGarden;2015-01-30 09:32;0;0;"Great old photo of the Halifax Public Gardens on a blistery Winter day many years ago! @HfxPublicGarden http:// fb.me/7jequZmwd";;@HfxPublicGarden;;"561154915331231744";https://twitter.com/HfxPublicGarden/status/561154915331231744
ABurbidge;2015-01-24 13:21;0;1;"Halifax Public Gardens - oldest in #Canada - bright with Victorian flair (via @torontostar ) #gardening http://www. thestar.com/life/2015/01/2 3/halifax-public-gardens-bright-with-victorian-flair.html …";;@torontostar;#Canada #gardening;"559038339568128000";https://twitter.com/ABurbidge/status/559038339568128000
Mhfan2013;2015-01-23 18:50;0;0;"“ @HalifaxNSNews : Halifax Public Gardens bright with Victorian flair - Toronto Star - http:// on.thestar.com/1JixX4A ”";;@HalifaxNSNews;;"558758720545771521";https://twitter.com/Mhfan2013/status/558758720545771521
canadian_travel;2015-01-23 18:47;0;0;"Halifax Public Gardens bright with Victorian flair - Toronto Star http:// bit.ly/1CwBVom";;;;"558757998357528578";https://twitter.com/canadian_travel/status/558757998357528578
HalifaxNSNews;2015-01-23 16:36;0;0;"Halifax Public Gardens bright with Victorian flair - Toronto Star - http:// on.thestar.com/1JixX4A";;;;"558724865344032768";https://twitter.com/HalifaxNSNews/status/558724865344032768
amfraser_com;2015-01-21 16:13;0;2;"no #new #cavities #xray @Halifax Public Gardens http:// instagram.com/p/yIQS4gsRSI/";;@Halifax;#new #cavities #xray;"557994301805064194";https://twitter.com/amfraser_com/status/557994301805064194
gpsforthebrain;2015-01-16 15:32;0;0;"@PeopleOfUK The wreath on the Halifax Public Gardens gate is still up (pic taken today!) #UKWOMBIE pic.twitter.com/fM3Lu0kx8g";;@PeopleOfUK;#UKWOMBIE;"556172086591623168";https://twitter.com/gpsforthebrain/status/556172086591623168
theikebanashop;2015-01-08 10:08;0;0;"The Halifax Public Gardens ' Year in review for 2014. We are happy to have played our bit! :-) http:// alongthegardenspath.com/2015/01/07/the -year-in-review/ …";;;;"553191508342767616";https://twitter.com/theikebanashop/status/553191508342767616
JefHow;2015-01-01 11:58;0;0;"Haliwood. @Halifax Public Gardens http:// instagram.com/p/xUTRt7kV_e/";;@Halifax;;"550682509927645186";https://twitter.com/JefHow/status/550682509927645186
azraberberovic;2014-12-31 18:02;0;0;"Straight up frozen @Halifax Public Gardens http:// instagram.com/p/xSYFgNQOiR/";;@Halifax;;"550411609316012032";https://twitter.com/azraberberovic/status/550411609316012032
ethersvoice;2014-12-27 09:51;1;0;"#FYI <> Radiation Fall Out Killing Foliage at Halifax Public Gardens ?: http:// youtu.be/clpx1_Wxdo8 via @YouTube";;@YouTube;#FYI;"548838656660602882";https://twitter.com/ethersvoice/status/548838656660602882
